證券代碼,年月日,收盤價(元),收盤價(元)_週
0050 元大台灣50,2008/1/4,59.1,41.86
1101 台泥,2008/1/4,46.6,24.38
1102 亞泥,2008/1/4,48,22.96
1216 統一,2008/1/4,45.25,19.87
1301 台塑,2008/1/4,90,48.38
1303 南亞,2008/1/4,83.2,48.16
1402 遠東新,2008/1/4,39.3,21.13
2002 中鋼,2008/1/4,43.35,23.07
2105 正新,2008/1/4,50.5,14.39
2301 光寶科,2008/1/4,52,24.41
2303 聯電,2008/1/4,19.15,11.86
2308 台達電,2008/1/4,100.5,60.16
2317 鴻海,2008/1/4,183,65.6
2327 國巨,2008/1/4,10.8,27.37
2330 台積電,2008/1/4,60,38.3
2354 鴻準,2008/1/4,235.5,103.1
2357 華碩,2008/1/4,96.2,179.37
2382 廣達,2008/1/4,43.6,22.02
2395 研華,2008/1/4,69.9,32.16
2408 南亞科,2008/1/4,17.9,395.82
2409 友達,2008/1/4,59,38.1
2454 聯發科,2008/1/4,367,217.28
2474 可成,2008/1/4,161.5,96.12
2492 華新科,2008/1/4,22.6,20
2801 彰銀,2008/1/4,17.9,8.8
2823 中壽,2008/1/4,18.75,6.63
2880 華南金,2008/1/4,21.4,9.06
2881 富邦金,2008/1/4,29.45,16.95
2882 國泰金,2008/1/4,68.5,37.68
2883 開發金,2008/1/4,12.35,7.78
2884 玉山金,2008/1/4,16.8,6.36
2885 元大金,2008/1/4,21.05,13.13
2886 兆豐金,2008/1/4,20,11.21
2887 台新金,2008/1/4,13.55,6.4
2890 永豐金,2008/1/4,12.35,6.33
2891 中信金,2008/1/4,23.2,8.94
2892 第一金,2008/1/4,23.95,9.96
2912 統一超,2008/1/4,83.5,50.99
3008 大立光,2008/1/4,395,307.94
3045 台灣大,2008/1/4,43.7,31.94
3481 群創,2008/1/4,97.7,68.89
4904 遠傳,2008/1/4,40.5,26.5
6505 台塑化,2008/1/4,92,59.92
9904 寶成,2008/1/4,29.4,15.65
0050 元大台灣50,2008/1/11,57.65,40.83
1101 台泥,2008/1/11,49.1,25.69
1102 亞泥,2008/1/11,50.2,24.02
1216 統一,2008/1/11,42.5,18.67
1301 台塑,2008/1/11,94.6,50.85
1303 南亞,2008/1/11,85.5,49.49
1402 遠東新,2008/1/11,42,22.58
2002 中鋼,2008/1/11,44.3,23.58
2105 正新,2008/1/11,54,15.39
2301 光寶科,2008/1/11,50.1,23.52
2303 聯電,2008/1/11,18.6,11.52
2308 台達電,2008/1/11,89.1,53.34
2317 鴻海,2008/1/11,177,63.45
2327 國巨,2008/1/11,10.3,26.1
2330 台積電,2008/1/11,55,35.11
2354 鴻準,2008/1/11,227,99.38
2357 華碩,2008/1/11,83.9,156.43
2382 廣達,2008/1/11,41.65,21.04
2395 研華,2008/1/11,72.1,33.18
2408 南亞科,2008/1/11,17.35,383.65
2409 友達,2008/1/11,57.1,36.87
2412 中華電,2008/1/11,68.8,43.52
2454 聯發科,2008/1/11,348,206.03
2474 可成,2008/1/11,129,76.78
2492 華新科,2008/1/11,21.95,19.43
2801 彰銀,2008/1/11,17.75,8.73
2823 中壽,2008/1/11,17.95,6.35
2880 華南金,2008/1/11,21.6,9.14
2881 富邦金,2008/1/11,30.2,17.38
2882 國泰金,2008/1/11,67.4,37.08
2883 開發金,2008/1/11,12.15,7.65
2884 玉山金,2008/1/11,16.6,6.28
2885 元大金,2008/1/11,22,13.72
2886 兆豐金,2008/1/11,20,11.21
2887 台新金,2008/1/11,13.1,6.19
2890 永豐金,2008/1/11,12.15,6.23
2891 中信金,2008/1/11,23.3,8.97
2892 第一金,2008/1/11,25,10.4
2912 統一超,2008/1/11,84,51.29
3008 大立光,2008/1/11,324,252.59
3045 台灣大,2008/1/11,44.95,32.86
3481 群創,2008/1/11,89.3,62.97
4904 遠傳,2008/1/11,41.3,27.03
6505 台塑化,2008/1/11,94.1,61.28
9904 寶成,2008/1/11,28.5,15.17
0050 元大台灣50,2008/1/18,58.5,41.43
1101 台泥,2008/1/18,51,26.68
1102 亞泥,2008/1/18,49.8,23.82
1216 統一,2008/1/18,40.9,17.96
1301 台塑,2008/1/18,91.8,49.34
1303 南亞,2008/1/18,83,48.04
1402 遠東新,2008/1/18,48.2,25.92
2002 中鋼,2008/1/18,44.8,23.84
2105 正新,2008/1/18,54.6,15.56
2301 光寶科,2008/1/18,52,24.41
2303 聯電,2008/1/18,18.4,11.4
2308 台達電,2008/1/18,81.5,48.79
2317 鴻海,2008/1/18,174.5,62.55
2327 國巨,2008/1/18,10.1,25.6
2330 台積電,2008/1/18,54.6,34.86
2354 鴻準,2008/1/18,211,92.37
2357 華碩,2008/1/18,81.2,151.4
2382 廣達,2008/1/18,41.4,20.91
2395 研華,2008/1/18,73.2,33.68
2408 南亞科,2008/1/18,18.4,406.87
2409 友達,2008/1/18,58.8,37.97
2412 中華電,2008/1/18,68.6,43.39
2454 聯發科,2008/1/18,326,193
2474 可成,2008/1/18,113,67.26
2492 華新科,2008/1/18,22.25,19.69
2801 彰銀,2008/1/18,19,9.34
2823 中壽,2008/1/18,21.6,7.64
2880 華南金,2008/1/18,24.2,10.25
2881 富邦金,2008/1/18,35.5,20.43
2882 國泰金,2008/1/18,83.5,45.94
2883 開發金,2008/1/18,13.2,8.31
2884 玉山金,2008/1/18,18.1,6.85
2885 元大金,2008/1/18,26.6,16.59
2886 兆豐金,2008/1/18,21.9,12.27
2887 台新金,2008/1/18,13.75,6.5
2890 永豐金,2008/1/18,13.4,6.87
2891 中信金,2008/1/18,26.45,10.19
2892 第一金,2008/1/18,26.8,11.15
2912 統一超,2008/1/18,94.7,57.83
3008 大立光,2008/1/18,328,255.71
3045 台灣大,2008/1/18,49,35.82
3481 群創,2008/1/18,85.4,60.22
4904 遠傳,2008/1/18,40.2,26.31
6505 台塑化,2008/1/18,93.5,60.89
9904 寶成,2008/1/18,27.8,14.8
0050 元大台灣50,2008/1/25,56.4,39.94
1101 台泥,2008/1/25,45.65,23.88
1102 亞泥,2008/1/25,45.3,21.67
1216 統一,2008/1/25,41.8,18.36
1301 台塑,2008/1/25,89,47.84
1303 南亞,2008/1/25,77.1,44.63
1402 遠東新,2008/1/25,44.25,23.79
2002 中鋼,2008/1/25,44,23.42
2105 正新,2008/1/25,52,14.82
2301 光寶科,2008/1/25,47,22.06
2303 聯電,2008/1/25,17.6,10.9
2308 台達電,2008/1/25,83.8,50.17
2317 鴻海,2008/1/25,166.5,59.68
2327 國巨,2008/1/25,9.32,23.62
2330 台積電,2008/1/25,55.5,35.43
2354 鴻準,2008/1/25,179.5,78.58
2357 華碩,2008/1/25,81.6,152.15
2382 廣達,2008/1/25,38.7,19.55
2395 研華,2008/1/25,69.4,31.93
2408 南亞科,2008/1/25,18,398.03
2409 友達,2008/1/25,56.8,36.68
2412 中華電,2008/1/25,69.3,43.83
