證券代碼,年月日,收盤價(元),收盤價(元)_週
2454 聯發科,2008/1/25,316.5,187.38
2474 可成,2008/1/25,99.1,58.98
2492 華新科,2008/1/25,20.45,18.1
2801 彰銀,2008/1/25,18,8.85
2823 中壽,2008/1/25,18.9,6.68
2880 華南金,2008/1/25,23.1,9.78
2881 富邦金,2008/1/25,33.75,19.43
2882 國泰金,2008/1/25,75.4,41.48
2883 開發金,2008/1/25,12.2,7.68
2884 玉山金,2008/1/25,17,6.43
2885 元大金,2008/1/25,25.3,15.78
2886 兆豐金,2008/1/25,20.6,11.54
2887 台新金,2008/1/25,13,6.14
2890 永豐金,2008/1/25,12.35,6.33
2891 中信金,2008/1/25,25.95,10
2892 第一金,2008/1/25,26.35,10.96
2912 統一超,2008/1/25,92,56.18
3008 大立光,2008/1/25,296.5,231.15
3045 台灣大,2008/1/25,46.5,33.99
3481 群創,2008/1/25,72.2,50.91
4904 遠傳,2008/1/25,40.35,26.41
6505 台塑化,2008/1/25,84.5,55.03
9904 寶成,2008/1/25,25.5,13.57
0050 元大台灣50,2008/2/1,56.4,39.94
1101 台泥,2008/2/1,44.7,23.38
1102 亞泥,2008/2/1,48.7,23.3
1216 統一,2008/2/1,41.7,18.31
1301 台塑,2008/2/1,77.1,41.44
1303 南亞,2008/2/1,65,37.62
1402 遠東新,2008/2/1,45.9,24.68
2002 中鋼,2008/2/1,46,24.48
2105 正新,2008/2/1,47.4,13.51
2301 光寶科,2008/2/1,47.35,22.23
2303 聯電,2008/2/1,17.3,10.72
2308 台達電,2008/2/1,80.8,48.37
2317 鴻海,2008/2/1,172,61.65
2327 國巨,2008/2/1,9,22.81
2330 台積電,2008/2/1,61.4,39.2
2354 鴻準,2008/2/1,180,78.8
2357 華碩,2008/2/1,83.9,156.43
2382 廣達,2008/2/1,37.7,19.04
2395 研華,2008/2/1,65.2,30
2408 南亞科,2008/2/1,17.7,391.39
2409 友達,2008/2/1,53.2,34.36
2412 中華電,2008/2/1,67.9,42.95
2454 聯發科,2008/2/1,296,175.24
2474 可成,2008/2/1,94.6,56.3
2492 華新科,2008/2/1,19.45,17.21
2801 彰銀,2008/2/1,17.8,8.75
2823 中壽,2008/2/1,19.9,7.03
2880 華南金,2008/2/1,23.5,9.95
2881 富邦金,2008/2/1,33.1,19.05
2882 國泰金,2008/2/1,79,43.46
2883 開發金,2008/2/1,12.25,7.71
2884 玉山金,2008/2/1,16.65,6.3
2885 元大金,2008/2/1,25.4,15.84
2886 兆豐金,2008/2/1,21.1,11.82
2887 台新金,2008/2/1,12.85,6.07
2890 永豐金,2008/2/1,12.2,6.25
2891 中信金,2008/2/1,25.8,9.94
2892 第一金,2008/2/1,25.9,10.77
2912 統一超,2008/2/1,88.5,54.04
3008 大立光,2008/2/1,292,227.64
3045 台灣大,2008/2/1,46,33.62
3481 群創,2008/2/1,69.2,48.8
4904 遠傳,2008/2/1,40.65,26.6
6505 台塑化,2008/2/1,76.3,49.69
9904 寶成,2008/2/1,24.05,12.8
0050 元大台灣50,2008/2/15,57.3,40.58
1101 台泥,2008/2/15,46.6,24.38
1102 亞泥,2008/2/15,47.5,22.72
1216 統一,2008/2/15,42.95,18.86
1301 台塑,2008/2/15,82.2,44.18
1303 南亞,2008/2/15,70.2,40.63
1402 遠東新,2008/2/15,45,24.2
2002 中鋼,2008/2/15,46.4,24.69
2105 正新,2008/2/15,51.2,14.59
2301 光寶科,2008/2/15,39.1,18.36
2303 聯電,2008/2/15,17.95,11.12
2308 台達電,2008/2/15,83.4,49.93
2317 鴻海,2008/2/15,174.5,62.55
2327 國巨,2008/2/15,8.85,22.43
2330 台積電,2008/2/15,61.5,39.26
2354 鴻準,2008/2/15,176,77.05
2357 華碩,2008/2/15,84,156.62
2382 廣達,2008/2/15,38.7,19.55
2395 研華,2008/2/15,68.3,31.43
2408 南亞科,2008/2/15,17.5,386.97
2409 友達,2008/2/15,55.6,35.91
2412 中華電,2008/2/15,69.8,44.15
2454 聯發科,2008/2/15,325.5,192.71
2474 可成,2008/2/15,99.1,58.98
2492 華新科,2008/2/15,20.3,17.96
2801 彰銀,2008/2/15,18.15,8.93
2823 中壽,2008/2/15,21.6,7.64
2880 華南金,2008/2/15,24.4,10.33
2881 富邦金,2008/2/15,34.9,20.09
2882 國泰金,2008/2/15,78.7,43.3
2883 開發金,2008/2/15,12.5,7.87
2884 玉山金,2008/2/15,16.9,6.39
2885 元大金,2008/2/15,25.4,15.84
2886 兆豐金,2008/2/15,21.8,12.21
2887 台新金,2008/2/15,13,6.14
2890 永豐金,2008/2/15,12.2,6.25
2891 中信金,2008/2/15,27.5,10.59
2892 第一金,2008/2/15,27.5,11.44
2912 統一超,2008/2/15,92.9,56.73
3008 大立光,2008/2/15,311,242.45
3481 群創,2008/2/15,72,50.77
4904 遠傳,2008/2/15,42.15,27.58
6505 台塑化,2008/2/15,80.5,52.43
9904 寶成,2008/2/15,25.5,13.57
0050 元大台灣50,2008/2/22,58.8,41.64
1101 台泥,2008/2/22,50.5,26.42
1102 亞泥,2008/2/22,49.5,23.68
1216 統一,2008/2/22,43.4,19.06
1301 台塑,2008/2/22,84,45.15
1303 南亞,2008/2/22,73,42.25
1402 遠東新,2008/2/22,48.6,26.13
2002 中鋼,2008/2/22,44.75,23.81
2105 正新,2008/2/22,55,15.68
2301 光寶科,2008/2/22,39.8,18.68
2303 聯電,2008/2/22,18.1,11.21
2308 台達電,2008/2/22,85,50.88
2317 鴻海,2008/2/22,183,65.6
2327 國巨,2008/2/22,9.22,23.37
2330 台積電,2008/2/22,60.9,38.88
2354 鴻準,2008/2/22,203,88.87
2357 華碩,2008/2/22,86,160.35
2382 廣達,2008/2/22,40,20.2
2395 研華,2008/2/22,69.6,32.03
2408 南亞科,2008/2/22,17.35,383.65
2409 友達,2008/2/22,57,36.81
2412 中華電,2008/2/22,72,45.54
2454 聯發科,2008/2/22,344.5,203.96
2474 可成,2008/2/22,115,68.45
2492 華新科,2008/2/22,20.95,18.54
2801 彰銀,2008/2/22,18.3,9
2823 中壽,2008/2/22,21.85,7.72
2880 華南金,2008/2/22,24.45,10.35
2881 富邦金,2008/2/22,35.1,20.2
2882 國泰金,2008/2/22,82.3,45.28
2883 開發金,2008/2/22,12.5,7.87
2884 玉山金,2008/2/22,16.9,6.39
2885 元大金,2008/2/22,26.9,16.78
2886 兆豐金,2008/2/22,21.55,12.07
2887 台新金,2008/2/22,13.75,6.5
2890 永豐金,2008/2/22,12.2,6.25
2891 中信金,2008/2/22,27.75,10.69
2892 第一金,2008/2/22,27.4,11.4
2912 統一超,2008/2/22,94,57.4
3008 大立光,2008/2/22,311,242.45
3045 台灣大,2008/2/22,53.9,31.6
3481 群創,2008/2/22,82.1,57.89
4904 遠傳,2008/2/22,41.3,27.03
6505 台塑化,2008/2/22,83,54.06
9904 寶成,2008/2/22,26.1,13.89
0050 元大台灣50,2008/2/29,60.85,43.1
1101 台泥,2008/2/29,55,28.77
1102 亞泥,2008/2/29,52.3,25.02
1216 統一,2008/2/29,45.7,20.07
1301 台塑,2008/2/29,85.1,45.74
1303 南亞,2008/2/29,74.2,42.95
1402 遠東新,2008/2/29,51.8,27.85
2002 中鋼,2008/2/29,47,25.01
2105 正新,2008/2/29,58.4,16.65
2301 光寶科,2008/2/29,42.5,19.95
2303 聯電,2008/2/29,18.35,11.37
2308 台達電,2008/2/29,89.3,53.46
2317 鴻海,2008/2/29,188,67.39
2327 國巨,2008/2/29,9.62,24.38
2330 台積電,2008/2/29,61.6,39.32
2354 鴻準,2008/2/29,206,90.18
2357 華碩,2008/2/29,86.8,161.84
2382 廣達,2008/2/29,41.4,20.91
2395 研華,2008/2/29,72.8,33.5
2408 南亞科,2008/2/29,18.1,400.24
2409 友達,2008/2/29,60.7,39.2
2412 中華電,2008/2/29,77.5,49.02
2454 聯發科,2008/2/29,356,210.76
2474 可成,2008/2/29,116.5,69.34
2492 華新科,2008/2/29,22.4,19.82
2801 彰銀,2008/2/29,19.75,9.71
2823 中壽,2008/2/29,23,8.13
2880 華南金,2008/2/29,24.8,10.5
2881 富邦金,2008/2/29,34.65,19.94
2882 國泰金,2008/2/29,80,44.01
2883 開發金,2008/2/29,12.9,8.12
2884 玉山金,2008/2/29,18.05,6.83
2885 元大金,2008/2/29,28.1,17.52
2886 兆豐金,2008/2/29,22.35,12.52
2887 台新金,2008/2/29,14.7,6.95
2890 永豐金,2008/2/29,13.65,7
2891 中信金,2008/2/29,28.25,10.88
2892 第一金,2008/2/29,28.3,11.77
2912 統一超,2008/2/29,106.5,65.03
3008 大立光,2008/2/29,342,266.62
3045 台灣大,2008/2/29,52.4,30.72
3481 群創,2008/2/29,88.5,62.41
4904 遠傳,2008/2/29,43.4,28.4
6505 台塑化,2008/2/29,87,56.66
9904 寶成,2008/2/29,27.3,14.53
0050 元大台灣50,2008/3/7,61.4,43.49
1101 台泥,2008/3/7,55.4,28.98
1102 亞泥,2008/3/7,54.1,25.88
1216 統一,2008/3/7,45.8,20.12
1301 台塑,2008/3/7,93.4,50.2
1303 南亞,2008/3/7,80.4,46.54
1402 遠東新,2008/3/7,51.6,27.75
2002 中鋼,2008/3/7,47.25,25.14
2105 正新,2008/3/7,58.8,16.76
2301 光寶科,2008/3/7,41.65,19.55
2303 聯電,2008/3/7,18,11.15
2308 台達電,2008/3/7,87.8,52.56
2317 鴻海,2008/3/7,189,67.75
2327 國巨,2008/3/7,9.8,24.84
2330 台積電,2008/3/7,64,40.86
2354 鴻準,2008/3/7,203.5,89.09
2357 華碩,2008/3/7,89.5,166.88
2382 廣達,2008/3/7,40.8,20.61
2395 研華,2008/3/7,70.5,32.44
2408 南亞科,2008/3/7,18.1,400.24
2409 友達,2008/3/7,61.1,39.46
2412 中華電,2008/3/7,76.2,48.2
2454 聯發科,2008/3/7,378,223.79
2474 可成,2008/3/7,112,66.66
2492 華新科,2008/3/7,22.45,19.87
2801 彰銀,2008/3/7,19.5,9.59
2823 中壽,2008/3/7,22.9,8.1
2880 華南金,2008/3/7,25.65,10.86
2881 富邦金,2008/3/7,34.3,19.74
2882 國泰金,2008/3/7,76.6,42.14
2883 開發金,2008/3/7,12.9,8.12
2884 玉山金,2008/3/7,18.1,6.85
2885 元大金,2008/3/7,26.9,16.78
2886 兆豐金,2008/3/7,23.1,12.94
2887 台新金,2008/3/7,13.95,6.59
2890 永豐金,2008/3/7,13.45,6.9
2891 中信金,2008/3/7,26.8,10.32
2892 第一金,2008/3/7,28.55,11.88
2912 統一超,2008/3/7,105,64.12
3008 大立光,2008/3/7,337,262.72
3045 台灣大,2008/3/7,57.4,33.65
3481 群創,2008/3/7,89.6,63.18
4904 遠傳,2008/3/7,43.65,28.57
6505 台塑化,2008/3/7,91.8,59.79
9904 寶成,2008/3/7,27.85,14.82
0050 元大台灣50,2008/3/14,58.45,41.4
1101 台泥,2008/3/14,52.9,27.67
1102 亞泥,2008/3/14,50.6,24.21
1216 統一,2008/3/14,42.6,18.71
1301 台塑,2008/3/14,90.4,48.59
1303 南亞,2008/3/14,74.4,43.06
1402 遠東新,2008/3/14,50.8,27.32
2002 中鋼,2008/3/14,45,23.95
2105 正新,2008/3/14,58,16.53
2301 光寶科,2008/3/14,37.6,17.65
2303 聯電,2008/3/14,17.25,10.69
2308 台達電,2008/3/14,82.5,49.39
2317 鴻海,2008/3/14,174.5,62.55
2327 國巨,2008/3/14,9.87,25.02
2330 台積電,2008/3/14,61.1,39
2354 鴻準,2008/3/14,181,79.24
2357 華碩,2008/3/14,87,162.21
2382 廣達,2008/3/14,39.85,20.13
2395 研華,2008/3/14,68.6,31.57
2408 南亞科,2008/3/14,17.55,388.08
2409 友達,2008/3/14,57.1,36.87
2412 中華電,2008/3/14,76.6,48.45
2454 聯發科,2008/3/14,369,218.46
2474 可成,2008/3/14,104,61.9
2492 華新科,2008/3/14,22.05,19.51
2801 彰銀,2008/3/14,19.45,9.57
2823 中壽,2008/3/14,20.35,7.19
2880 華南金,2008/3/14,25.15,10.65
2881 富邦金,2008/3/14,32.15,18.51
2882 國泰金,2008/3/14,74.3,40.88
2883 開發金,2008/3/14,12.65,7.97
2884 玉山金,2008/3/14,17.65,6.68
2885 元大金,2008/3/14,25,15.59
2886 兆豐金,2008/3/14,22.7,12.72
2887 台新金,2008/3/14,13.5,6.38
2890 永豐金,2008/3/14,13.1,6.72
2891 中信金,2008/3/14,25.9,9.98
2892 第一金,2008/3/14,28.35,11.79
2912 統一超,2008/3/14,96.8,59.11
3008 大立光,2008/3/14,320,249.47
3045 台灣大,2008/3/14,56,32.83
3481 群創,2008/3/14,84,59.23
4904 遠傳,2008/3/14,41.8,27.36
6505 台塑化,2008/3/14,88,57.31
9904 寶成,2008/3/14,27.35,14.56
0050 元大台灣50,2008/3/21,61.55,43.59
1101 台泥,2008/3/21,56.8,29.71
1102 亞泥,2008/3/21,54.1,25.88
1216 統一,2008/3/21,44.8,19.68
1301 台塑,2008/3/21,99,53.21
1303 南亞,2008/3/21,79.2,45.84
1402 遠東新,2008/3/21,53.9,28.98
2002 中鋼,2008/3/21,46.5,24.75
2105 正新,2008/3/21,59.8,17.05
2301 光寶科,2008/3/21,35.6,16.71
2303 聯電,2008/3/21,18.35,11.37
2308 台達電,2008/3/21,84.9,50.82
2317 鴻海,2008/3/21,176,63.09
2327 國巨,2008/3/21,10.15,25.72
2330 台積電,2008/3/21,64.8,41.37
2354 鴻準,2008/3/21,186,81.43
2357 華碩,2008/3/21,87.8,163.71
2382 廣達,2008/3/21,41.1,20.76
2395 研華,2008/3/21,67.9,31.24
2408 南亞科,2008/3/21,17.5,386.97
2409 友達,2008/3/21,57.1,36.87
2412 中華電,2008/3/21,76,48.07
2454 聯發科,2008/3/21,397,235.04
2474 可成,2008/3/21,109,64.88
2492 華新科,2008/3/21,21.2,18.76
2801 彰銀,2008/3/21,21,10.33
2823 中壽,2008/3/21,22.85,8.08
2880 華南金,2008/3/21,28.25,11.96
2881 富邦金,2008/3/21,35.45,20.41
2882 國泰金,2008/3/21,81.9,45.06
2883 開發金,2008/3/21,13.3,8.37
2884 玉山金,2008/3/21,18.3,6.92
2885 元大金,2008/3/21,28.3,17.65
2886 兆豐金,2008/3/21,24,13.45
2887 台新金,2008/3/21,14.55,6.88
2890 永豐金,2008/3/21,14.35,7.36
2891 中信金,2008/3/21,30.05,11.57
2892 第一金,2008/3/21,32,13.31
2912 統一超,2008/3/21,114.5,69.92
3008 大立光,2008/3/21,320.5,249.86
3045 台灣大,2008/3/21,56.5,33.12
3481 群創,2008/3/21,80.9,57.05
6505 台塑化,2008/3/21,94.6,61.61
9904 寶成,2008/3/21,28.2,15.01
0050 元大台灣50,2008/3/28,62,43.91
1101 台泥,2008/3/28,57.7,30.18
1102 亞泥,2008/3/28,53,25.35
1216 統一,2008/3/28,47.3,20.77
1301 台塑,2008/3/28,95.7,51.44
1303 南亞,2008/3/28,78,45.15
1402 遠東新,2008/3/28,53,28.5
2002 中鋼,2008/3/28,47.25,25.14
2105 正新,2008/3/28,62.5,17.82
2301 光寶科,2008/3/28,35.45,16.64
2303 聯電,2008/3/28,18.85,11.68
2308 台達電,2008/3/28,88.7,53.1
2317 鴻海,2008/3/28,174.5,62.55
2327 國巨,2008/3/28,10.95,27.75
2330 台積電,2008/3/28,62.3,39.77
2354 鴻準,2008/3/28,184,80.55
2357 華碩,2008/3/28,89.2,166.32
2382 廣達,2008/3/28,41.25,20.84
2395 研華,2008/3/28,71.1,32.72
2408 南亞科,2008/3/28,17.65,390.29
2409 友達,2008/3/28,52.9,34.16
2412 中華電,2008/3/28,79.9,50.54
2454 聯發科,2008/3/28,404,239.18
2474 可成,2008/3/28,112,66.66
2492 華新科,2008/3/28,22.55,19.96
2801 彰銀,2008/3/28,23.15,11.39
2823 中壽,2008/3/28,24.15,8.54
2880 華南金,2008/3/28,28.75,12.17
2881 富邦金,2008/3/28,35.15,20.23
2882 國泰金,2008/3/28,80.7,44.4
2883 開發金,2008/3/28,14,8.82
2884 玉山金,2008/3/28,18.95,7.17
2885 元大金,2008/3/28,29.35,18.3
2886 兆豐金,2008/3/28,24.5,13.73
2887 台新金,2008/3/28,15.8,7.47
2890 永豐金,2008/3/28,14.75,7.56
2891 中信金,2008/3/28,29.1,11.21
2892 第一金,2008/3/28,32.9,13.68
2912 統一超,2008/3/28,107,65.34
3008 大立光,2008/3/28,318,247.91
3045 台灣大,2008/3/28,58,34
3481 群創,2008/3/28,79.9,56.34
4904 遠傳,2008/3/28,52,28.82
6505 台塑化,2008/3/28,92.2,60.05
9904 寶成,2008/3/28,29.4,15.65
0050 元大台灣50,2008/4/3,61.2,43.34
1101 台泥,2008/4/3,57.3,29.98
1102 亞泥,2008/4/3,53,25.35
1216 統一,2008/4/3,43.2,18.97
1301 台塑,2008/4/3,87.3,46.93
1303 南亞,2008/4/3,74.2,42.95
1402 遠東新,2008/4/3,47.5,25.54
2002 中鋼,2008/4/3,47.25,25.14
2105 正新,2008/4/3,58,16.53
2301 光寶科,2008/4/3,36.2,16.99
2303 聯電,2008/4/3,19,11.77
2308 台達電,2008/4/3,89.6,53.64
2317 鴻海,2008/4/3,177.5,63.63
2327 國巨,2008/4/3,11.1,28.13
2330 台積電,2008/4/3,64.4,41.11
2354 鴻準,2008/4/3,190,83.18
2357 華碩,2008/4/3,92.6,172.66
2382 廣達,2008/4/3,44.8,22.63
2395 研華,2008/4/3,73.3,33.73
2408 南亞科,2008/4/3,19.05,421.24
2409 友達,2008/4/3,55.3,35.71
2412 中華電,2008/4/3,78.3,49.53
2454 聯發科,2008/4/3,413,244.51
2474 可成,2008/4/3,128,76.18
2492 華新科,2008/4/3,23,20.35
2801 彰銀,2008/4/3,22.3,10.97
2823 中壽,2008/4/3,22.3,7.88
2880 華南金,2008/4/3,27.85,11.79
2881 富邦金,2008/4/3,34.3,19.74
2882 國泰金,2008/4/3,77.9,42.86
2883 開發金,2008/4/3,14.05,8.85
2884 玉山金,2008/4/3,18.4,6.96
2885 元大金,2008/4/3,27.85,17.37
2886 兆豐金,2008/4/3,24.35,13.64
2887 台新金,2008/4/3,14.5,6.85
2890 永豐金,2008/4/3,13.9,7.13
2891 中信金,2008/4/3,29,11.17
2892 第一金,2008/4/3,32.65,13.58
2912 統一超,2008/4/3,100.5,61.37
3008 大立光,2008/4/3,351,273.64
3045 台灣大,2008/4/3,58.3,34.18
3481 群創,2008/4/3,89.7,63.25
4904 遠傳,2008/4/3,52.4,29.05
6505 台塑化,2008/4/3,88.2,57.44
9904 寶成,2008/4/3,28.95,15.41
0050 元大台灣50,2008/4/11,63.5,44.97
1101 台泥,2008/4/11,54.5,28.51
1102 亞泥,2008/4/11,53.2,25.45
1216 統一,2008/4/11,45.95,20.18
1301 台塑,2008/4/11,91,48.91
1303 南亞,2008/4/11,76.5,44.28
1402 遠東新,2008/4/11,52.3,28.12
2002 中鋼,2008/4/11,48.15,25.62
2105 正新,2008/4/11,63.3,18.04
2301 光寶科,2008/4/11,36.2,16.99
2303 聯電,2008/4/11,18.35,11.37
2308 台達電,2008/4/11,94.5,56.57
2317 鴻海,2008/4/11,188,67.39
2327 國巨,2008/4/11,11.2,28.39
2330 台積電,2008/4/11,64.1,40.92
2354 鴻準,2008/4/11,234,102.44
2357 華碩,2008/4/11,94.8,176.76
2382 廣達,2008/4/11,46.45,23.46
2395 研華,2008/4/11,75.7,34.83
2408 南亞科,2008/4/11,18.55,410.19
2409 友達,2008/4/11,56.7,36.62
2412 中華電,2008/4/11,75.8,47.94
2454 聯發科,2008/4/11,415,245.69
2474 可成,2008/4/11,130,77.37
2492 華新科,2008/4/11,23.5,20.8
2801 彰銀,2008/4/11,24.55,12.07
2823 中壽,2008/4/11,24.3,8.59
2880 華南金,2008/4/11,30.9,13.08
2881 富邦金,2008/4/11,34.75,20
2882 國泰金,2008/4/11,78.7,43.3
2883 開發金,2008/4/11,14.25,8.97
2884 玉山金,2008/4/11,18.7,7.08
2885 元大金,2008/4/11,30.1,18.77
2886 兆豐金,2008/4/11,26.15,14.65
2887 台新金,2008/4/11,15.85,7.49
2890 永豐金,2008/4/11,14.8,7.59
2891 中信金,2008/4/11,31.4,12.09
2892 第一金,2008/4/11,36.15,15.04
2912 統一超,2008/4/11,106,64.73
3008 大立光,2008/4/11,413,321.97
3045 台灣大,2008/4/11,58.1,34.06
3481 群創,2008/4/11,94.3,66.5
4904 遠傳,2008/4/11,50.7,28.1
6505 台塑化,2008/4/11,91.9,59.85
9904 寶成,2008/4/11,30.55,16.26
0050 元大台灣50,2008/4/18,64.4,45.61
1101 台泥,2008/4/18,56,29.3
1102 亞泥,2008/4/18,55,26.31
1216 統一,2008/4/18,44.8,19.68
1301 台塑,2008/4/18,91.2,49.02
1303 南亞,2008/4/18,75.8,43.87
1402 遠東新,2008/4/18,53.5,28.77
2002 中鋼,2008/4/18,50.7,26.98
2105 正新,2008/4/18,58.9,16.79
2301 光寶科,2008/4/18,37.3,17.51
