證券代碼,年月日,收盤價(元),收盤價(元)_週
2912 統一超,2006/1/20,73.8,41.1
3008 大立光,2006/1/20,600,410.53
3045 台灣大,2006/1/20,28.45,17.94
4904 遠傳,2006/1/20,35.9,20.09
6505 台塑化,2006/1/20,58.3,32.26
9904 寶成,2006/1/20,21.5,9.52
0050 元大台灣50,2006/1/25,51.35,32.64
1101 台泥,2006/1/25,23.9,10.93
1102 亞泥,2006/1/25,19.75,7.42
1216 統一,2006/1/25,18,7.14
1301 台塑,2006/1/25,51.8,23.45
1303 南亞,2006/1/25,47.3,22.83
1402 遠東新,2006/1/25,22,10.02
2002 中鋼,2006/1/25,27,11
2105 正新,2006/1/25,24.5,5.86
2301 光寶科,2006/1/25,44.3,23.56
2303 聯電,2006/1/25,18.15,12.68
2308 台達電,2006/1/25,66.6,32.65
2317 鴻海,2006/1/25,215,50.84
2327 國巨,2006/1/25,12.05,29.56
2330 台積電,2006/1/25,63.5,34.96
2354 鴻準,2006/1/25,160,51.12
2357 華碩,2006/1/25,104.5,158.54
2382 廣達,2006/1/25,47,20.22
2395 研華,2006/1/25,91.5,35.57
2408 南亞科,2006/1/25,19.45,360.66
2409 友達,2006/1/25,46.45,27.77
2412 中華電,2006/1/25,56.4,30.24
2454 聯發科,2006/1/25,319.5,148.2
2474 可成,2006/1/25,236,75.21
2492 華新科,2006/1/25,32.7,25.43
2801 彰銀,2006/1/25,17.65,8.3
2823 中壽,2006/1/25,11.65,4.12
2880 華南金,2006/1/25,21.4,8.13
2881 富邦金,2006/1/25,28,14.96
2882 國泰金,2006/1/25,59.5,29.94
2883 開發金,2006/1/25,12.15,6.78
2884 玉山金,2006/1/25,21,7.39
2885 元大金,2006/1/25,12.95,8.08
2886 兆豐金,2006/1/25,21.45,10.43
2887 台新金,2006/1/25,18.3,8.65
2890 永豐金,2006/1/25,16.65,8.01
2891 中信金,2006/1/25,25.6,8.62
2892 第一金,2006/1/25,23.3,8.4
2912 統一超,2006/1/25,71.9,40.04
3008 大立光,2006/1/25,608,416.01
3045 台灣大,2006/1/25,28.9,18.23
4904 遠傳,2006/1/25,37.55,21.01
6505 台塑化,2006/1/25,58.9,32.59
9904 寶成,2006/1/25,21.15,9.37
0050 元大台灣50,2006/2/3,51.6,32.79
1101 台泥,2006/2/3,24.85,11.36
1102 亞泥,2006/2/3,20.1,7.55
1216 統一,2006/2/3,18,7.14
1301 台塑,2006/2/3,52.1,23.59
1303 南亞,2006/2/3,48,23.17
1402 遠東新,2006/2/3,23.1,10.52
2002 中鋼,2006/2/3,28.8,11.73
2105 正新,2006/2/3,24.6,5.88
2301 光寶科,2006/2/3,43.65,23.21
2303 聯電,2006/2/3,17.8,12.44
2308 台達電,2006/2/3,65.8,32.25
2317 鴻海,2006/2/3,210.5,49.78
2327 國巨,2006/2/3,12.25,30.05
2330 台積電,2006/2/3,63.4,34.91
2354 鴻準,2006/2/3,157.5,50.32
2357 華碩,2006/2/3,100.5,152.47
2382 廣達,2006/2/3,47.65,20.49
2395 研華,2006/2/3,91,35.38
2408 南亞科,2006/2/3,19.65,364.37
2409 友達,2006/2/3,48.8,29.18
2412 中華電,2006/2/3,55.5,29.76
2454 聯發科,2006/2/3,329,152.61
2474 可成,2006/2/3,238,75.85
2492 華新科,2006/2/3,33.3,25.89
2801 彰銀,2006/2/3,18.45,8.68
2823 中壽,2006/2/3,11.8,4.17
2880 華南金,2006/2/3,21.95,8.33
2881 富邦金,2006/2/3,28.6,15.28
2882 國泰金,2006/2/3,61.5,30.95
2883 開發金,2006/2/3,12.5,6.97
2884 玉山金,2006/2/3,22,7.74
2885 元大金,2006/2/3,13,8.11
2886 兆豐金,2006/2/3,21.4,10.41
2887 台新金,2006/2/3,19.55,9.24
2890 永豐金,2006/2/3,17.55,8.44
2891 中信金,2006/2/3,27.35,9.21
2892 第一金,2006/2/3,23.95,8.63
2912 統一超,2006/2/3,72.3,40.27
3008 大立光,2006/2/3,650,444.74
3045 台灣大,2006/2/3,29.7,18.73
4904 遠傳,2006/2/3,37.9,21.2
6505 台塑化,2006/2/3,58.3,32.26
9904 寶成,2006/2/3,21.65,9.59
0050 元大台灣50,2006/2/10,52.1,33.11
1101 台泥,2006/2/10,24,10.97
1102 亞泥,2006/2/10,20.85,7.84
1216 統一,2006/2/10,18.95,7.52
1301 台塑,2006/2/10,51.8,23.45
1303 南亞,2006/2/10,46.9,22.64
1402 遠東新,2006/2/10,23.35,10.63
2002 中鋼,2006/2/10,28.15,11.47
2105 正新,2006/2/10,24.7,5.91
2301 光寶科,2006/2/10,42,22.33
2303 聯電,2006/2/10,18.3,12.79
2308 台達電,2006/2/10,66.3,32.5
2317 鴻海,2006/2/10,208,49.18
2327 國巨,2006/2/10,13,31.89
2330 台積電,2006/2/10,62.6,34.47
2354 鴻準,2006/2/10,151,48.24
2357 華碩,2006/2/10,99.6,151.11
2382 廣達,2006/2/10,49.3,21.2
2395 研華,2006/2/10,85,33.04
2408 南亞科,2006/2/10,21.25,394.03
2409 友達,2006/2/10,52,31.09
2412 中華電,2006/2/10,56.8,30.45
