證券代碼,年月日,收盤價(元),收盤價(元)_週
0050 元大台灣50,2010/1/8,57.75,44.16
1101 台泥,2010/1/8,35.4,20.33
1102 亞泥,2010/1/8,35.35,20.71
1216 統一,2010/1/8,38,19.54
1301 台塑,2010/1/8,70.6,46.2
1303 南亞,2010/1/8,63.6,43.32
1402 遠東新,2010/1/8,41.7,25.24
2002 中鋼,2010/1/8,34.85,22.58
2105 正新,2010/1/8,69.9,26.33
2301 光寶科,2010/1/8,47.5,26.39
2303 聯電,2010/1/8,18.2,12.46
2308 台達電,2010/1/8,97.5,69.02
2317 鴻海,2010/1/8,150.5,75.24
2327 國巨,2010/1/8,11.75,31.25
2330 台積電,2010/1/8,64,46.62
2354 鴻準,2010/1/8,120,69.48
2357 華碩,2010/1/8,66,148.87
2382 廣達,2010/1/8,68.5,41.43
2395 研華,2010/1/8,72,39.72
2408 南亞科,2010/1/8,32,252.01
2409 友達,2010/1/8,41.7,32.08
2412 中華電,2010/1/8,58.1,48.12
2454 聯發科,2010/1/8,550,371.51
2474 可成,2010/1/8,82.5,63.4
2492 華新科,2010/1/8,18.65,19.1
2801 彰銀,2010/1/8,15.5,8.36
2823 中壽,2010/1/8,25.1,9.74
2880 華南金,2010/1/8,20.4,9.8
2881 富邦金,2010/1/8,40.25,24.41
2882 國泰金,2010/1/8,60.4,36.31
2883 開發金,2010/1/8,10.1,6.66
2884 玉山金,2010/1/8,13.85,5.8
2885 元大金,2010/1/8,23.4,15.26
2886 兆豐金,2010/1/8,18.95,11.46
2887 台新金,2010/1/8,12.95,6.23
2890 永豐金,2010/1/8,12.6,6.53
2891 中信金,2010/1/8,20.5,8.96
2892 第一金,2010/1/8,19.95,9.42
2912 統一超,2010/1/8,77,56.54
3008 大立光,2010/1/8,397.5,342.51
3045 台灣大,2010/1/8,60.6,40.51
3481 群創,2010/1/8,54.1,45.36
4904 遠傳,2010/1/8,37.5,23.75
6505 台塑化,2010/1/8,85.7,62.93
9904 寶成,2010/1/8,26.05,17.08
0050 元大台灣50,2010/1/15,57.8,44.2
1101 台泥,2010/1/15,34.45,19.79
1102 亞泥,2010/1/15,34.95,20.48
1216 統一,2010/1/15,37.5,19.29
1301 台塑,2010/1/15,70.5,46.14
1303 南亞,2010/1/15,64.1,43.66
1402 遠東新,2010/1/15,41.25,24.97
2002 中鋼,2010/1/15,34.75,22.52
2105 正新,2010/1/15,70.6,26.6
2301 光寶科,2010/1/15,47.85,26.58
2303 聯電,2010/1/15,18,12.33
2308 台達電,2010/1/15,98.1,69.45
2317 鴻海,2010/1/15,152.5,76.24
2327 國巨,2010/1/15,12.1,32.18
2330 台積電,2010/1/15,63.5,46.26
2354 鴻準,2010/1/15,129.5,74.98
2357 華碩,2010/1/15,70.2,158.35
2382 廣達,2010/1/15,71.1,43
2395 研華,2010/1/15,70.4,38.83
2408 南亞科,2010/1/15,33.9,266.98
2409 友達,2010/1/15,40.95,31.5
2412 中華電,2010/1/15,58.4,48.36
2454 聯發科,2010/1/15,584,394.48
2474 可成,2010/1/15,84,64.56
2492 華新科,2010/1/15,18.75,19.2
2801 彰銀,2010/1/15,15.45,8.34
2823 中壽,2010/1/15,25,9.7
2880 華南金,2010/1/15,20,9.6
2881 富邦金,2010/1/15,39.2,23.77
2882 國泰金,2010/1/15,59,35.47
2883 開發金,2010/1/15,10.15,6.69
2884 玉山金,2010/1/15,13.5,5.65
2885 元大金,2010/1/15,23.25,15.16
2886 兆豐金,2010/1/15,18.6,11.25
2887 台新金,2010/1/15,12.95,6.23
2890 永豐金,2010/1/15,12.5,6.48
2891 中信金,2010/1/15,19.8,8.66
2892 第一金,2010/1/15,19.35,9.14
2912 統一超,2010/1/15,75.8,55.66
3008 大立光,2010/1/15,417,359.31
3045 台灣大,2010/1/15,62.3,41.64
3481 群創,2010/1/15,56.9,47.7
4904 遠傳,2010/1/15,38,24.07
6505 台塑化,2010/1/15,84,61.68
9904 寶成,2010/1/15,26.05,17.08
0050 元大台灣50,2010/1/22,54.4,41.6
1101 台泥,2010/1/22,31.8,18.27
1102 亞泥,2010/1/22,32.75,19.19
1216 統一,2010/1/22,36.1,18.57
1301 台塑,2010/1/22,66.8,43.71
1303 南亞,2010/1/22,64.3,43.8
1402 遠東新,2010/1/22,37,22.39
2002 中鋼,2010/1/22,32.95,21.35
2105 正新,2010/1/22,64.1,24.15
2301 光寶科,2010/1/22,44,24.45
2303 聯電,2010/1/22,17.7,12.12
2308 台達電,2010/1/22,94.6,66.97
2317 鴻海,2010/1/22,138,68.99
2327 國巨,2010/1/22,11.3,30.06
2330 台積電,2010/1/22,61.1,44.51
2354 鴻準,2010/1/22,125,72.38
2357 華碩,2010/1/22,64.3,145.04
2382 廣達,2010/1/22,65.5,39.62
2395 研華,2010/1/22,66.7,36.79
2408 南亞科,2010/1/22,28.9,227.6
2409 友達,2010/1/22,38.1,29.31
2412 中華電,2010/1/22,58.1,48.12
2454 聯發科,2010/1/22,523,353.27
2474 可成,2010/1/22,80.2,61.64
2492 華新科,2010/1/22,17.7,18.12
2801 彰銀,2010/1/22,14.95,8.07
2823 中壽,2010/1/22,23.25,9.02
2880 華南金,2010/1/22,19.2,9.22
2881 富邦金,2010/1/22,37.3,22.62
2882 國泰金,2010/1/22,56.8,34.15
2883 開發金,2010/1/22,9.33,6.15
2884 玉山金,2010/1/22,12.6,5.27
2885 元大金,2010/1/22,20.95,13.66
2886 兆豐金,2010/1/22,18.05,10.92
2887 台新金,2010/1/22,12.85,6.18
2890 永豐金,2010/1/22,11.35,5.88
2891 中信金,2010/1/22,18.65,8.15
2892 第一金,2010/1/22,18.55,8.76
2912 統一超,2010/1/22,74.8,54.93
3008 大立光,2010/1/22,403.5,347.68
3045 台灣大,2010/1/22,61.9,41.37
3481 群創,2010/1/22,53.6,44.94
4904 遠傳,2010/1/22,38.15,24.16
6505 台塑化,2010/1/22,82.8,60.8
9904 寶成,2010/1/22,24.85,16.29
0050 元大台灣50,2010/1/29,53,40.53
1101 台泥,2010/1/29,29.85,17.15
1102 亞泥,2010/1/29,30.3,17.75
1216 統一,2010/1/29,34.2,17.59
1301 台塑,2010/1/29,66.6,43.58
1303 南亞,2010/1/29,60,40.87
1402 遠東新,2010/1/29,35.2,21.3
2002 中鋼,2010/1/29,32.5,21.06
2105 正新,2010/1/29,61.5,23.17
2301 光寶科,2010/1/29,40.7,22.61
2303 聯電,2010/1/29,16.05,10.99
2308 台達電,2010/1/29,97,68.67
2317 鴻海,2010/1/29,134.5,67.24
2327 國巨,2010/1/29,11.15,29.66
2330 台積電,2010/1/29,61.5,44.8
2354 鴻準,2010/1/29,126.5,73.25
2357 華碩,2010/1/29,62,139.85
2382 廣達,2010/1/29,63.9,38.65
2395 研華,2010/1/29,65,35.86
2408 南亞科,2010/1/29,26.25,206.73
2409 友達,2010/1/29,35.85,27.58
2454 聯發科,2010/1/29,520,351.25
2474 可成,2010/1/29,71.9,55.26
2492 華新科,2010/1/29,16,16.38
2801 彰銀,2010/1/29,14.45,7.8
2823 中壽,2010/1/29,21.75,8.44
2880 華南金,2010/1/29,18.55,8.91
2881 富邦金,2010/1/29,37.4,22.68
2882 國泰金,2010/1/29,54.2,32.59
2883 開發金,2010/1/29,8.88,5.85
2884 玉山金,2010/1/29,12,5.02
2885 元大金,2010/1/29,20.4,13.3
2886 兆豐金,2010/1/29,17.3,10.47
2890 永豐金,2010/1/29,10.55,5.47
2891 中信金,2010/1/29,17.5,7.65
2892 第一金,2010/1/29,17.9,8.46
2912 統一超,2010/1/29,73.5,53.97
3008 大立光,2010/1/29,417,359.31
3045 台灣大,2010/1/29,61.9,41.37
3481 群創,2010/1/29,52.6,44.1
4904 遠傳,2010/1/29,38.8,24.57
6505 台塑化,2010/1/29,80.5,59.11
9904 寶成,2010/1/29,24.05,15.77
0050 元大台灣50,2010/2/6,51.2,39.15
1101 台泥,2010/2/6,28.45,16.34
1102 亞泥,2010/2/6,28.35,16.61
1216 統一,2010/2/6,33.55,17.25
1301 台塑,2010/2/6,66,43.19
1303 南亞,2010/2/6,58.6,39.92
1402 遠東新,2010/2/6,31.65,19.16
2002 中鋼,2010/2/6,31.7,20.54
2105 正新,2010/2/6,59.3,22.34
2301 光寶科,2010/2/6,42.1,23.39
2303 聯電,2010/2/6,16,10.96
2308 台達電,2010/2/6,91.4,64.71
2317 鴻海,2010/2/6,135,67.49
2327 國巨,2010/2/6,10.2,27.13
2330 台積電,2010/2/6,58,42.25
2354 鴻準,2010/2/6,121,70.06
2357 華碩,2010/2/6,58.9,132.86
2382 廣達,2010/2/6,62,37.5
2395 研華,2010/2/6,60.1,33.15
2408 南亞科,2010/2/6,23.4,184.28
2409 友達,2010/2/6,34.45,26.5
2454 聯發科,2010/2/6,512,345.84
2474 可成,2010/2/6,60.8,46.73
2492 華新科,2010/2/6,16.65,17.05
2801 彰銀,2010/2/6,13.5,7.28
2823 中壽,2010/2/6,18.6,7.22
2880 華南金,2010/2/6,18.2,8.74
2881 富邦金,2010/2/6,32,19.41
2882 國泰金,2010/2/6,49.55,29.79
2883 開發金,2010/2/6,8.28,5.46
2884 玉山金,2010/2/6,11.1,4.65
2885 元大金,2010/2/6,18.85,12.29
2886 兆豐金,2010/2/6,16.85,10.19
2887 台新金,2010/2/6,10.65,4.77
2890 永豐金,2010/2/6,9.65,5
2891 中信金,2010/2/6,15.75,6.89
2892 第一金,2010/2/6,16.55,7.82
