證券代碼,年月日,收盤價(元),收盤價(元)_週
2912 統一超,2010/2/6,73.1,53.68
3008 大立光,2010/2/6,412,355.01
3045 台灣大,2010/2/6,61.7,41.24
3481 群創,2010/2/6,49,41.08
4904 遠傳,2010/2/6,38,24.07
6505 台塑化,2010/2/6,79.7,58.53
9904 寶成,2010/2/6,22.6,14.82
0050 元大台灣50,2010/2/10,52.1,39.84
1101 台泥,2010/2/10,29.4,16.89
1102 亞泥,2010/2/10,30.05,17.6
1216 統一,2010/2/10,33.95,17.46
1301 台塑,2010/2/10,65.9,43.12
1303 南亞,2010/2/10,60.1,40.94
1402 遠東新,2010/2/10,35.55,21.52
2002 中鋼,2010/2/10,32.75,21.22
2105 正新,2010/2/10,61.5,23.17
2301 光寶科,2010/2/10,43,23.89
2303 聯電,2010/2/10,16.25,11.13
2308 台達電,2010/2/10,95.6,67.68
2317 鴻海,2010/2/10,134.5,67.24
2327 國巨,2010/2/10,10.9,28.99
2330 台積電,2010/2/10,58.4,42.54
2354 鴻準,2010/2/10,124,71.8
2357 華碩,2010/2/10,57.8,130.38
2382 廣達,2010/2/10,64,38.71
2395 研華,2010/2/10,62.9,34.7
2408 南亞科,2010/2/10,25.4,200.03
2409 友達,2010/2/10,36.3,27.93
2412 中華電,2010/2/10,59.3,45.36
2454 聯發科,2010/2/10,518,349.9
2474 可成,2010/2/10,65.9,50.65
2492 華新科,2010/2/10,18.5,18.94
2801 彰銀,2010/2/10,13.85,7.47
2823 中壽,2010/2/10,20.15,7.82
2880 華南金,2010/2/10,18.25,8.76
2881 富邦金,2010/2/10,34.65,21.01
2882 國泰金,2010/2/10,51,30.66
2883 開發金,2010/2/10,8.52,5.62
2884 玉山金,2010/2/10,11.7,4.9
2885 元大金,2010/2/10,19.25,12.55
2886 兆豐金,2010/2/10,17.3,10.47
2887 台新金,2010/2/10,11.2,5.02
2890 永豐金,2010/2/10,10.1,5.23
2891 中信金,2010/2/10,16.8,7.35
2892 第一金,2010/2/10,16.7,7.89
2912 統一超,2010/2/10,72.5,53.24
3008 大立光,2010/2/10,414,356.73
3045 台灣大,2010/2/10,60,40.1
3481 群創,2010/2/10,50.6,42.42
4904 遠傳,2010/2/10,37.4,23.69
6505 台塑化,2010/2/10,78.8,57.86
9904 寶成,2010/2/10,23.4,15.34
0050 元大台灣50,2010/2/26,51.55,39.42
1101 台泥,2010/2/26,29.6,17
1102 亞泥,2010/2/26,29.4,17.22
1216 統一,2010/2/26,35.6,18.31
1301 台塑,2010/2/26,69.2,45.28
1303 南亞,2010/2/26,63.5,43.26
1402 遠東新,2010/2/26,34.7,21
2002 中鋼,2010/2/26,32.2,20.87
2105 正新,2010/2/26,62,23.36
2301 光寶科,2010/2/26,41.3,22.95
2303 聯電,2010/2/26,15.45,10.58
2308 台達電,2010/2/26,93.5,66.19
2317 鴻海,2010/2/26,127,63.49
2327 國巨,2010/2/26,11,29.26
2330 台積電,2010/2/26,58.8,42.83
2354 鴻準,2010/2/26,113.5,65.72
2357 華碩,2010/2/26,56.6,127.67
2382 廣達,2010/2/26,65.5,39.62
2395 研華,2010/2/26,64.9,35.8
2408 南亞科,2010/2/26,23.8,187.43
2409 友達,2010/2/26,33,25.39
2412 中華電,2010/2/26,59.8,45.74
2454 聯發科,2010/2/26,505,341.12
2474 可成,2010/2/26,65.5,50.34
2492 華新科,2010/2/26,18.1,18.53
2801 彰銀,2010/2/26,14.15,7.64
2823 中壽,2010/2/26,21.55,8.36
2880 華南金,2010/2/26,20,9.6
2881 富邦金,2010/2/26,35.5,21.53
2882 國泰金,2010/2/26,51.7,31.08
2883 開發金,2010/2/26,8.73,5.76
2884 玉山金,2010/2/26,11.9,4.98
2885 元大金,2010/2/26,18.2,11.87
2886 兆豐金,2010/2/26,17.75,10.74
2887 台新金,2010/2/26,10.8,4.84
2890 永豐金,2010/2/26,10.35,5.36
2891 中信金,2010/2/26,17.4,7.61
2892 第一金,2010/2/26,17.25,8.15
2912 統一超,2010/2/26,75.4,55.37
3008 大立光,2010/2/26,413.5,356.3
3045 台灣大,2010/2/26,60.1,40.17
3481 群創,2010/2/26,45.6,38.23
4904 遠傳,2010/2/26,38.2,24.19
6505 台塑化,2010/2/26,81.2,59.63
9904 寶成,2010/2/26,23.65,15.51
0050 元大台灣50,2010/3/5,52.95,40.49
1101 台泥,2010/3/5,29.95,17.2
1102 亞泥,2010/3/5,30,17.58
1216 統一,2010/3/5,36.2,18.62
1301 台塑,2010/3/5,70,45.81
1303 南亞,2010/3/5,64.8,44.14
1402 遠東新,2010/3/5,35.6,21.55
2002 中鋼,2010/3/5,33.1,21.45
2105 正新,2010/3/5,65,24.49
2301 光寶科,2010/3/5,41.95,23.31
2303 聯電,2010/3/5,16.1,11.03
2308 台達電,2010/3/5,96.7,68.46
2317 鴻海,2010/3/5,134,66.99
2327 國巨,2010/3/5,11.1,29.52
2330 台積電,2010/3/5,60.4,44
2354 鴻準,2010/3/5,116,67.17
2357 華碩,2010/3/5,57.5,129.7
2382 廣達,2010/3/5,65,39.31
2395 研華,2010/3/5,65,35.86
2408 南亞科,2010/3/5,25.9,203.97
2409 友達,2010/3/5,34.1,26.23
2412 中華電,2010/3/5,60.7,46.43
2454 聯發科,2010/3/5,509,343.82
2474 可成,2010/3/5,68.6,52.72
2492 華新科,2010/3/5,18.05,18.48
2801 彰銀,2010/3/5,14.4,7.77
2823 中壽,2010/3/5,21.85,8.48
2880 華南金,2010/3/5,19.65,9.44
2881 富邦金,2010/3/5,36.85,22.35
2882 國泰金,2010/3/5,53.5,32.17
2883 開發金,2010/3/5,8.95,5.9
2884 玉山金,2010/3/5,11.9,4.98
2885 元大金,2010/3/5,19.6,12.78
2886 兆豐金,2010/3/5,18.05,10.92
2887 台新金,2010/3/5,11.65,5.22
2890 永豐金,2010/3/5,10.5,5.44
2891 中信金,2010/3/5,18.45,8.07
2892 第一金,2010/3/5,17.75,8.38
2912 統一超,2010/3/5,76.2,55.96
3008 大立光,2010/3/5,421.5,363.19
3045 台灣大,2010/3/5,60.4,40.37
3481 群創,2010/3/5,48,40.24
4904 遠傳,2010/3/5,38.15,24.16
6505 台塑化,2010/3/5,81.7,59.99
9904 寶成,2010/3/5,24.4,16
0050 元大台灣50,2010/3/12,53.6,40.99
1101 台泥,2010/3/12,29.45,16.92
1102 亞泥,2010/3/12,29.9,17.52
1216 統一,2010/3/12,35.75,18.39
1301 台塑,2010/3/12,69.9,45.74
1303 南亞,2010/3/12,64.8,44.14
1402 遠東新,2010/3/12,36.95,22.36
2002 中鋼,2010/3/12,33,21.38
2105 正新,2010/3/12,65.4,24.64
2301 光寶科,2010/3/12,42.6,23.67
2303 聯電,2010/3/12,16.75,11.47
2308 台達電,2010/3/12,97,68.67
2317 鴻海,2010/3/12,137.5,68.74
2327 國巨,2010/3/12,11.65,30.99
2330 台積電,2010/3/12,60.8,44.29
2354 鴻準,2010/3/12,115,66.59
2357 華碩,2010/3/12,57.3,129.25
2382 廣達,2010/3/12,63.2,38.23
2395 研華,2010/3/12,63.8,35.19
2408 南亞科,2010/3/12,28.9,227.6
2409 友達,2010/3/12,34.7,26.69
2412 中華電,2010/3/12,61.2,46.81
2454 聯發科,2010/3/12,538,363.41
2474 可成,2010/3/12,68.5,52.64
2492 華新科,2010/3/12,17.9,18.33
2801 彰銀,2010/3/12,14.05,7.58
2823 中壽,2010/3/12,22.4,8.69
2880 華南金,2010/3/12,19.75,9.48
2881 富邦金,2010/3/12,38.05,23.07
2882 國泰金,2010/3/12,53.5,32.17
2883 開發金,2010/3/12,8.95,5.9
2884 玉山金,2010/3/12,12.45,5.21
2885 元大金,2010/3/12,19.3,12.58
2886 兆豐金,2010/3/12,18.05,10.92
2887 台新金,2010/3/12,11.65,5.22
2890 永豐金,2010/3/12,10.45,5.42
2891 中信金,2010/3/12,18.2,7.96
2892 第一金,2010/3/12,17.45,8.24
2912 統一超,2010/3/12,76.2,55.96
3008 大立光,2010/3/12,436,375.69
3045 台灣大,2010/3/12,60.3,40.31
3481 群創,2010/3/12,49.3,41.33
4904 遠傳,2010/3/12,37.9,24
6505 台塑化,2010/3/12,82.4,60.51
9904 寶成,2010/3/12,24.2,15.87
0050 元大台灣50,2010/3/19,54.25,41.49
1101 台泥,2010/3/19,29.85,17.15
1102 亞泥,2010/3/19,30.1,17.63
1216 統一,2010/3/19,35.05,18.03
1301 台塑,2010/3/19,71,46.46
1303 南亞,2010/3/19,65.1,44.35
1402 遠東新,2010/3/19,36.05,21.82
2002 中鋼,2010/3/19,33.2,21.51
2105 正新,2010/3/19,67.6,25.47
2301 光寶科,2010/3/19,40.8,22.67
2303 聯電,2010/3/19,16.95,11.61
2308 台達電,2010/3/19,100.5,71.15
2317 鴻海,2010/3/19,139.5,69.74
2327 國巨,2010/3/19,12.15,32.32
2330 台積電,2010/3/19,60,43.71
2354 鴻準,2010/3/19,117.5,68.04
2357 華碩,2010/3/19,57.6,129.93
2382 廣達,2010/3/19,63.9,38.65
2395 研華,2010/3/19,68.9,38.01
2408 南亞科,2010/3/19,31.6,248.86
2409 友達,2010/3/19,36.8,28.31
2412 中華電,2010/3/19,61.5,47.04
2454 聯發科,2010/3/19,539,364.08
2474 可成,2010/3/19,71.8,55.18
2492 華新科,2010/3/19,18.8,19.25
2801 彰銀,2010/3/19,14.55,7.85
2823 中壽,2010/3/19,23.7,9.2
2880 華南金,2010/3/19,20.1,9.65
2881 富邦金,2010/3/19,38.8,23.53
2882 國泰金,2010/3/19,54.2,32.59
2883 開發金,2010/3/19,9.17,6.05
2884 玉山金,2010/3/19,13,5.44
2885 元大金,2010/3/19,20.2,13.17
2886 兆豐金,2010/3/19,18.2,11.01
2887 台新金,2010/3/19,12.4,5.56
2890 永豐金,2010/3/19,11.3,5.86
2891 中信金,2010/3/19,18.25,7.98
2892 第一金,2010/3/19,17.95,8.48
2912 統一超,2010/3/19,76.2,55.96
3008 大立光,2010/3/19,449,386.89
3045 台灣大,2010/3/19,60.8,40.64
3481 群創,2010/3/19,50.6,42.42
4904 遠傳,2010/3/19,38.3,24.26
6505 台塑化,2010/3/19,83.5,61.32
9904 寶成,2010/3/19,26,17.05
0050 元大台灣50,2010/3/26,54,41.3
1101 台泥,2010/3/26,29.45,16.92
1102 亞泥,2010/3/26,30.45,17.84
1216 統一,2010/3/26,34.4,17.69
1301 台塑,2010/3/26,70.8,46.33
1303 南亞,2010/3/26,63.8,43.46
1402 遠東新,2010/3/26,34.65,20.97
2002 中鋼,2010/3/26,32.65,21.16
2105 正新,2010/3/26,66.7,25.13
2301 光寶科,2010/3/26,43.1,23.95
2303 聯電,2010/3/26,17,11.64
2308 台達電,2010/3/26,100,70.79
2317 鴻海,2010/3/26,134.5,67.24
2327 國巨,2010/3/26,12.55,33.38
2330 台積電,2010/3/26,62,45.16
2354 鴻準,2010/3/26,117,67.75
2357 華碩,2010/3/26,55.6,125.41
2382 廣達,2010/3/26,61.5,37.2
2395 研華,2010/3/26,69.6,38.39
2408 南亞科,2010/3/26,30.65,241.38
2409 友達,2010/3/26,36.2,27.85
2412 中華電,2010/3/26,61.1,46.73
2454 聯發科,2010/3/26,560,378.27
2474 可成,2010/3/26,75,57.64
2492 華新科,2010/3/26,19.75,20.22
2801 彰銀,2010/3/26,14.4,7.77
2823 中壽,2010/3/26,24.35,9.45
2880 華南金,2010/3/26,19.55,9.39
2881 富邦金,2010/3/26,38.25,23.2
2882 國泰金,2010/3/26,53.1,31.92
2883 開發金,2010/3/26,9.07,5.98
2884 玉山金,2010/3/26,13,5.44
2885 元大金,2010/3/26,19.5,12.71
2886 兆豐金,2010/3/26,18.1,10.95
2887 台新金,2010/3/26,12.65,5.67
2890 永豐金,2010/3/26,10.75,5.57
2891 中信金,2010/3/26,18,7.87
2892 第一金,2010/3/26,17.45,8.24
2912 統一超,2010/3/26,77.7,57.06
3008 大立光,2010/3/26,440,379.13
3045 台灣大,2010/3/26,60.4,40.37
3481 群創,2010/3/26,49.6,41.58
4904 遠傳,2010/3/26,38,24.07
6505 台塑化,2010/3/26,82.6,60.66
9904 寶成,2010/3/26,25.7,16.85
0050 元大台灣50,2010/4/2,54.75,41.87
1101 台泥,2010/4/2,30.15,17.32
1102 亞泥,2010/4/2,31.35,18.37
1216 統一,2010/4/2,37.15,19.11
1301 台塑,2010/4/2,71.2,46.59
1303 南亞,2010/4/2,65.1,44.35
1402 遠東新,2010/4/2,35,21.18
2002 中鋼,2010/4/2,33.4,21.64
2105 正新,2010/4/2,67.6,25.47
2301 光寶科,2010/4/2,41.9,23.28
2303 聯電,2010/4/2,16.75,11.47
2308 台達電,2010/4/2,99.4,70.37
2317 鴻海,2010/4/2,139.5,69.74
2327 國巨,2010/4/2,12.55,33.38
2330 台積電,2010/4/2,62.4,45.45
2354 鴻準,2010/4/2,126.5,73.25
2357 華碩,2010/4/2,56.2,126.77
2382 廣達,2010/4/2,61.8,37.38
2395 研華,2010/4/2,68.7,37.9
2408 南亞科,2010/4/2,30.85,242.96
2409 友達,2010/4/2,36.8,28.31
2412 中華電,2010/4/2,61.8,47.27
2454 聯發科,2010/4/2,560,378.27
2474 可成,2010/4/2,80.5,61.87
2492 華新科,2010/4/2,21.05,21.55
2801 彰銀,2010/4/2,14.6,7.88
2823 中壽,2010/4/2,24.45,9.49
2880 華南金,2010/4/2,19.9,9.56
2881 富邦金,2010/4/2,39,23.65
2882 國泰金,2010/4/2,53.5,32.17
2883 開發金,2010/4/2,9.2,6.07
2884 玉山金,2010/4/2,13.25,5.55
2885 元大金,2010/4/2,19.3,12.58
2886 兆豐金,2010/4/2,18.6,11.25
2887 台新金,2010/4/2,13.25,5.94
2890 永豐金,2010/4/2,11.3,5.86
2891 中信金,2010/4/2,18.25,7.98
2892 第一金,2010/4/2,17.8,8.41
2912 統一超,2010/4/2,79,58.01
3008 大立光,2010/4/2,477,411.01
3045 台灣大,2010/4/2,60.1,40.17
3481 群創,2010/4/2,49.55,41.54
4904 遠傳,2010/4/2,38.05,24.1
6505 台塑化,2010/4/2,85,62.42
9904 寶成,2010/4/2,25.8,16.92
0050 元大台灣50,2010/4/9,55.2,42.21
1101 台泥,2010/4/9,29.65,17.03
1102 亞泥,2010/4/9,31.45,18.43
1216 統一,2010/4/9,36.7,18.87
1301 台塑,2010/4/9,69.7,45.61
1303 南亞,2010/4/9,66.9,45.57
1402 遠東新,2010/4/9,36.65,22.18
2002 中鋼,2010/4/9,34.1,22.1
2105 正新,2010/4/9,67.9,25.58
2301 光寶科,2010/4/9,42.85,23.81
2303 聯電,2010/4/9,16.95,11.61
2308 台達電,2010/4/9,101.5,71.86
2317 鴻海,2010/4/9,144.5,72.24
2327 國巨,2010/4/9,12.5,33.25
2330 台積電,2010/4/9,62.7,45.67
2354 鴻準,2010/4/9,130.5,75.56
2357 華碩,2010/4/9,57,128.57
2382 廣達,2010/4/9,61.7,37.32
2395 研華,2010/4/9,69.4,38.28
2408 南亞科,2010/4/9,29.8,234.69
2409 友達,2010/4/9,35.75,27.5
2412 中華電,2010/4/9,61.7,47.19
2454 聯發科,2010/4/9,557,376.24
2474 可成,2010/4/9,79.6,61.17
2492 華新科,2010/4/9,22.4,22.94
2801 彰銀,2010/4/9,14.7,7.93
2823 中壽,2010/4/9,25.95,10.07
2880 華南金,2010/4/9,19.85,9.53
2881 富邦金,2010/4/9,38.55,23.38
2882 國泰金,2010/4/9,55,33.07
2883 開發金,2010/4/9,9.31,6.14
2884 玉山金,2010/4/9,13.9,5.82
2885 元大金,2010/4/9,20.35,13.27
2886 兆豐金,2010/4/9,18.75,11.34
2887 台新金,2010/4/9,13.2,5.92
2890 永豐金,2010/4/9,11.6,6.01
2891 中信金,2010/4/9,18.45,8.07
2892 第一金,2010/4/9,18.2,8.6
2912 統一超,2010/4/9,79.5,58.38
3008 大立光,2010/4/9,487,419.63
3045 台灣大,2010/4/9,59.8,39.97
3481 群創,2010/4/9,48.8,40.91
4904 遠傳,2010/4/9,38,24.07
6505 台塑化,2010/4/9,86,63.15
9904 寶成,2010/4/9,26.05,17.08
0050 元大台灣50,2010/4/16,55.2,42.21
1101 台泥,2010/4/16,30.05,17.26
1102 亞泥,2010/4/16,32.4,18.98
1216 統一,2010/4/16,37.75,19.41
1301 台塑,2010/4/16,70.5,46.14
1303 南亞,2010/4/16,67,45.64
1402 遠東新,2010/4/16,37.25,22.55
2002 中鋼,2010/4/16,34.9,22.62
2105 正新,2010/4/16,69.5,26.18
2301 光寶科,2010/4/16,41.35,22.97
2303 聯電,2010/4/16,16.7,11.44
2308 台達電,2010/4/16,102.5,72.56
2317 鴻海,2010/4/16,141,70.49
2327 國巨,2010/4/16,15.05,40.03
2330 台積電,2010/4/16,63,45.89
2354 鴻準,2010/4/16,129,74.7
2357 華碩,2010/4/16,58.4,131.73
2382 廣達,2010/4/16,60.2,36.41
2395 研華,2010/4/16,70,38.61
2408 南亞科,2010/4/16,28.8,226.81
2409 友達,2010/4/16,35.7,27.46
2412 中華電,2010/4/16,61.9,47.34
2454 聯發科,2010/4/16,546,368.81
2474 可成,2010/4/16,81,62.25
2492 華新科,2010/4/16,23,23.55
2801 彰銀,2010/4/16,14.6,7.88
2823 中壽,2010/4/16,25.2,9.78
2880 華南金,2010/4/16,19.6,9.41
2881 富邦金,2010/4/16,38.5,23.35
2882 國泰金,2010/4/16,53.8,32.35
2883 開發金,2010/4/16,9.2,6.07
2884 玉山金,2010/4/16,13.7,5.74
2885 元大金,2010/4/16,19.95,13.01
2886 兆豐金,2010/4/16,18.7,11.31
2887 台新金,2010/4/16,12.75,5.72
2890 永豐金,2010/4/16,11.35,5.88
2891 中信金,2010/4/16,18.15,7.94
2892 第一金,2010/4/16,17.75,8.38
2912 統一超,2010/4/16,85,62.42
3008 大立光,2010/4/16,499,429.97
3045 台灣大,2010/4/16,60.3,40.31
3481 群創,2010/4/16,46.8,39.24
4904 遠傳,2010/4/16,38,24.07
6505 台塑化,2010/4/16,83.7,61.46
9904 寶成,2010/4/16,27.25,17.87
0050 元大台灣50,2010/4/23,54.75,41.87
1101 台泥,2010/4/23,27.8,15.97
1102 亞泥,2010/4/23,30.6,17.93
1216 統一,2010/4/23,36.5,18.77
1301 台塑,2010/4/23,68.7,44.96
1303 南亞,2010/4/23,63.8,43.46
1402 遠東新,2010/4/23,34.7,21
