證券代碼,年月日,成交量(千股)_週,收盤價(元),收盤價(元)_週
2408 南亞科,2010-01-22,119549,28.9,227.6
2409 友達,2010-01-22,297855,38.1,29.31
2412 中華電,2010-01-22,56694,58.1,48.12
2454 聯發科,2010-01-22,29749,523,353.27
2474 可成,2010-01-22,33361,80.2,61.64
2492 華新科,2010-01-22,43345,17.7,18.12
2801 彰銀,2010-01-22,49472,14.95,8.07
2823 中壽,2010-01-22,49613,23.25,9.02
2880 華南金,2010-01-22,23801,19.2,9.22
2881 富邦金,2010-01-22,103602,37.3,22.62
2882 國泰金,2010-01-22,120095,56.8,34.15
2883 開發金,2010-01-22,163733,9.33,6.15
2884 玉山金,2010-01-22,35748,12.6,5.27
2885 元大金,2010-01-22,242273,20.95,13.66
2886 兆豐金,2010-01-22,99129,18.05,10.92
2887 台新金,2010-01-22,46069,12.85,6.18
2890 永豐金,2010-01-22,184341,11.35,5.88
2891 中信金,2010-01-22,163905,18.65,8.15
2892 第一金,2010-01-22,89231,18.55,8.76
2912 統一超,2010-01-22,6657,74.8,54.93
3008 大立光,2010-01-22,8115,403.5,347.68
3045 台灣大,2010-01-22,18131,61.9,41.37
3481 群創,2010-01-22,157046,53.6,44.94
4904 遠傳,2010-01-22,25177,38.15,24.16
6505 台塑化,2010-01-22,8402,82.8,60.8
9904 寶成,2010-01-22,75586,24.85,16.29
0050 元大台灣50,2010-01-22,78481,54.4,41.6
1101 台泥,2010-01-29,108176,29.85,17.15
1102 亞泥,2010-01-29,49007,30.3,17.75
1216 統一,2010-01-29,46071,34.2,17.59
1301 台塑,2010-01-29,50107,66.6,43.58
1303 南亞,2010-01-29,59527,60,40.87
1326 台化,2010-01-29,36757,69.3,44.99
1402 遠東新,2010-01-29,54241,35.2,21.3
2002 中鋼,2010-01-29,229769,32.5,21.06
2105 正新,2010-01-29,53138,61.5,23.17
2301 光寶科,2010-01-29,47577,40.7,22.61
2303 聯電,2010-01-29,357420,16.05,10.99
2308 台達電,2010-01-29,48029,97,68.67
2317 鴻海,2010-01-29,180944,134.5,67.24
2327 國巨,2010-01-29,79071,11.15,29.66
2330 台積電,2010-01-29,338343,61.5,44.8
2354 鴻準,2010-01-29,65366,126.5,73.25
2357 華碩,2010-01-29,125984,62,139.85
2382 廣達,2010-01-29,56623,63.9,38.65
2395 研華,2010-01-29,6607,65,35.86
2408 南亞科,2010-01-29,86881,26.25,206.73
2409 友達,2010-01-29,329212,35.85,27.58
2454 聯發科,2010-01-29,28324,520,351.25
2474 可成,2010-01-29,40036,71.9,55.26
2492 華新科,2010-01-29,27820,16,16.38
2801 彰銀,2010-01-29,47358,14.45,7.8
2823 中壽,2010-01-29,57462,21.75,8.44
2880 華南金,2010-01-29,30893,18.55,8.91
2881 富邦金,2010-01-29,95056,37.4,22.68
2882 國泰金,2010-01-29,124739,54.2,32.59
2883 開發金,2010-01-29,156834,8.88,5.85
2884 玉山金,2010-01-29,42429,12,5.02
2885 元大金,2010-01-29,160267,20.4,13.3
2886 兆豐金,2010-01-29,118746,17.3,10.47
2890 永豐金,2010-01-29,202308,10.55,5.47
2891 中信金,2010-01-29,182864,17.5,7.65
2892 第一金,2010-01-29,79465,17.9,8.46
2912 統一超,2010-01-29,11012,73.5,53.97
3008 大立光,2010-01-29,8172,417,359.31
3045 台灣大,2010-01-29,29167,61.9,41.37
3481 群創,2010-01-29,224679,52.6,44.1
4904 遠傳,2010-01-29,36995,38.8,24.57
6505 台塑化,2010-01-29,11026,80.5,59.11
9904 寶成,2010-01-29,39976,24.05,15.77
0050 元大台灣50,2010-01-29,80519,53,40.53
1101 台泥,2010-02-06,67396,28.45,16.34
1102 亞泥,2010-02-06,42014,28.35,16.61
1216 統一,2010-02-06,52903,33.55,17.25
1301 台塑,2010-02-06,65214,66,43.19
1303 南亞,2010-02-06,48896,58.6,39.92
1326 台化,2010-02-06,32187,68.1,44.21
1402 遠東新,2010-02-06,126239,31.65,19.16
2002 中鋼,2010-02-06,182915,31.7,20.54
2105 正新,2010-02-06,43246,59.3,22.34
2301 光寶科,2010-02-06,32705,42.1,23.39
2303 聯電,2010-02-06,542756,16,10.96
2308 台達電,2010-02-06,34938,91.4,64.71
2317 鴻海,2010-02-06,137920,135,67.49
2327 國巨,2010-02-06,100101,10.2,27.13
2330 台積電,2010-02-06,325722,58,42.25
2354 鴻準,2010-02-06,40386,121,70.06
2357 華碩,2010-02-06,77539,58.9,132.86
2382 廣達,2010-02-06,56640,62,37.5
2395 研華,2010-02-06,4419,60.1,33.15
2408 南亞科,2010-02-06,74737,23.4,184.28
2409 友達,2010-02-06,333223,34.45,26.5
2454 聯發科,2010-02-06,28889,512,345.84
2474 可成,2010-02-06,56898,60.8,46.73
2492 華新科,2010-02-06,41677,16.65,17.05
2801 彰銀,2010-02-06,51958,13.5,7.28
2823 中壽,2010-02-06,64935,18.6,7.22
2880 華南金,2010-02-06,31558,18.2,8.74
2881 富邦金,2010-02-06,179061,32,19.41
2882 國泰金,2010-02-06,138364,49.55,29.79
2883 開發金,2010-02-06,134760,8.28,5.46
2884 玉山金,2010-02-06,42265,11.1,4.65
2885 元大金,2010-02-06,229431,18.85,12.29
2886 兆豐金,2010-02-06,113298,16.85,10.19
2887 台新金,2010-02-06,86819,10.65,4.77
2890 永豐金,2010-02-06,135137,9.65,5
2891 中信金,2010-02-06,241385,15.75,6.89
2892 第一金,2010-02-06,118066,16.55,7.82
2912 統一超,2010-02-06,11828,73.1,53.68
3008 大立光,2010-02-06,10479,412,355.01
3045 台灣大,2010-02-06,33186,61.7,41.24
3481 群創,2010-02-06,178890,49,41.08
4904 遠傳,2010-02-06,57326,38,24.07
6505 台塑化,2010-02-06,14664,79.7,58.53
9904 寶成,2010-02-06,34900,22.6,14.82
0050 元大台灣50,2010-02-06,96013,51.2,39.15
1101 台泥,2010-02-10,32768,29.4,16.89
1102 亞泥,2010-02-10,17023,30.05,17.6
1216 統一,2010-02-10,24662,33.95,17.46
1301 台塑,2010-02-10,29653,65.9,43.12
1303 南亞,2010-02-10,20721,60.1,40.94
1326 台化,2010-02-10,13027,68,44.15
1402 遠東新,2010-02-10,120146,35.55,21.52
2002 中鋼,2010-02-10,105465,32.75,21.22
2105 正新,2010-02-10,18546,61.5,23.17
2301 光寶科,2010-02-10,14446,43,23.89
2303 聯電,2010-02-10,184699,16.25,11.13
2308 台達電,2010-02-10,17292,95.6,67.68
2317 鴻海,2010-02-10,81877,134.5,67.24
2327 國巨,2010-02-10,25323,10.9,28.99
2330 台積電,2010-02-10,149196,58.4,42.54
2354 鴻準,2010-02-10,16920,124,71.8
2357 華碩,2010-02-10,38893,57.8,130.38
2382 廣達,2010-02-10,17390,64,38.71
2395 研華,2010-02-10,2251,62.9,34.7
2408 南亞科,2010-02-10,47384,25.4,200.03
2409 友達,2010-02-10,176498,36.3,27.93
2412 中華電,2010-02-10,137977,59.3,45.36
2454 聯發科,2010-02-10,10958,518,349.9
2474 可成,2010-02-10,29502,65.9,50.65
2492 華新科,2010-02-10,36392,18.5,18.94
2801 彰銀,2010-02-10,23840,13.85,7.47
2823 中壽,2010-02-10,33484,20.15,7.82
2880 華南金,2010-02-10,13766,18.25,8.76
2881 富邦金,2010-02-10,56701,34.65,21.01
2882 國泰金,2010-02-10,51700,51,30.66
2883 開發金,2010-02-10,63842,8.52,5.62
2884 玉山金,2010-02-10,16775,11.7,4.9
2885 元大金,2010-02-10,72768,19.25,12.55
2886 兆豐金,2010-02-10,47687,17.3,10.47
2887 台新金,2010-02-10,274554,11.2,5.02
2890 永豐金,2010-02-10,82129,10.1,5.23
2891 中信金,2010-02-10,160050,16.8,7.35
2892 第一金,2010-02-10,60287,16.7,7.89
2912 統一超,2010-02-10,10241,72.5,53.24
3008 大立光,2010-02-10,3394,414,356.73
3045 台灣大,2010-02-10,21684,60,40.1
3481 群創,2010-02-10,68339,50.6,42.42
4904 遠傳,2010-02-10,24831,37.4,23.69
6505 台塑化,2010-02-10,6106,78.8,57.86
9904 寶成,2010-02-10,20820,23.4,15.34
0050 元大台灣50,2010-02-10,40711,52.1,39.84
1101 台泥,2010-02-26,52068,29.6,17
1102 亞泥,2010-02-26,19692,29.4,17.22
1216 統一,2010-02-26,59580,35.6,18.31
1301 台塑,2010-02-26,55464,69.2,45.28
1303 南亞,2010-02-26,59177,63.5,43.26
1326 台化,2010-02-26,51992,72.5,47.07
1402 遠東新,2010-02-26,59079,34.7,21
2002 中鋼,2010-02-26,215399,32.2,20.87
2105 正新,2010-02-26,29229,62,23.36
2301 光寶科,2010-02-26,22630,41.3,22.95
2303 聯電,2010-02-26,407392,15.45,10.58
2308 台達電,2010-02-26,28049,93.5,66.19
2317 鴻海,2010-02-26,160490,127,63.49
2327 國巨,2010-02-26,60808,11,29.26
2330 台積電,2010-02-26,251083,58.8,42.83
2354 鴻準,2010-02-26,24276,113.5,65.72
2357 華碩,2010-02-26,53797,56.6,127.67
2382 廣達,2010-02-26,42271,65.5,39.62
2395 研華,2010-02-26,2967,64.9,35.8
2408 南亞科,2010-02-26,60315,23.8,187.43
2409 友達,2010-02-26,311524,33,25.39
2412 中華電,2010-02-26,99811,59.8,45.74
2454 聯發科,2010-02-26,33553,505,341.12
2474 可成,2010-02-26,24702,65.5,50.34
2492 華新科,2010-02-26,36834,18.1,18.53
2801 彰銀,2010-02-26,46638,14.15,7.64
2823 中壽,2010-02-26,70763,21.55,8.36
2880 華南金,2010-02-26,61147,20,9.6
