證券代碼,年月日,成交量(千股)_週,收盤價(元),收盤價(元)_週
2308 台達電,2012-02-24,41921,80.4,62.06
2317 鴻海,2012-02-24,233290,99,62.6
2327 國巨,2012-02-24,48356,9.78,26.58
2330 台積電,2012-02-24,202092,79.1,63.19
2354 鴻準,2012-02-24,86171,133,93.72
2357 華碩,2012-02-24,33851,258,166.48
2382 廣達,2012-02-24,35979,68,46
2395 研華,2012-02-24,2737,94.1,62.68
2408 南亞科,2012-02-24,12022,3.9,31.19
2409 友達,2012-02-24,574631,15.9,12.5
2412 中華電,2012-02-24,195016,90.1,63.49
2454 聯發科,2012-02-24,43746,302,231.22
2474 可成,2012-02-24,75603,201.5,162.12
2492 華新科,2012-02-24,12929,10.2,10.98
2801 彰銀,2012-02-24,85567,17.7,10.73
2823 中壽,2012-02-24,93567,29.7,15.66
2880 華南金,2012-02-24,55430,17.3,9.71
2881 富邦金,2012-02-24,86668,33.9,24.37
2882 國泰金,2012-02-24,74002,34,22.44
2883 開發金,2012-02-24,106829,9.77,7.32
2884 玉山金,2012-02-24,58873,15.65,7.64
2885 元大金,2012-02-24,100947,17,12.73
2886 兆豐金,2012-02-24,164072,21.9,14.74
2887 台新金,2012-02-24,114215,11.7,6.32
2890 永豐金,2012-02-24,90084,10.6,5.87
2891 中信金,2012-02-24,185437,19.75,10.6
2892 第一金,2012-02-24,99690,18.5,10.01
2912 統一超,2012-02-24,15923,151,117.98
3008 大立光,2012-02-24,12844,639,567.49
3045 台灣大,2012-02-24,40485,89.2,61.92
3481 群創,2012-02-24,251766,15.6,13.08
4904 遠傳,2012-02-24,60267,62,44.12
4938 和碩,2012-02-24,26846,37.4,27.62
5871 中租-KY,2012-02-24,33010,36.15,21.32
5880 合庫金,2012-02-24,29321,18.8,10.44
6505 台塑化,2012-02-24,8805,92.6,74.16
9904 寶成,2012-02-24,20009,25.65,19.09
0050 元大台灣50,2012-02-24,82530,54.75,45.19
1101 台泥,2012-03-03,39454,37,24.02
1102 亞泥,2012-03-03,18853,36.85,25.19
1216 統一,2012-03-03,38221,44.2,27.97
1301 台塑,2012-03-03,28099,91,67.2
1303 南亞,2012-03-03,34767,71.3,53.49
1326 台化,2012-03-03,24871,90.9,67.31
1402 遠東新,2012-03-03,36190,36.9,25.56
2002 中鋼,2012-03-03,93700,30.45,23.44
2105 正新,2012-03-03,61653,72.8,43.14
2301 光寶科,2012-03-03,26605,38.4,24.91
2303 聯電,2012-03-03,196880,15.25,11.71
2308 台達電,2012-03-03,23727,79.5,61.37
2317 鴻海,2012-03-03,131742,101,63.87
2327 國巨,2012-03-03,49690,10.1,27.45
2330 台積電,2012-03-03,130833,79.3,63.35
2354 鴻準,2012-03-03,57359,137,96.53
2357 華碩,2012-03-03,34209,281,181.32
2382 廣達,2012-03-03,48366,70.6,47.76
2395 研華,2012-03-03,3760,97.9,65.21
2408 南亞科,2012-03-03,13150,4.25,33.99
2409 友達,2012-03-03,244986,15.65,12.31
2412 中華電,2012-03-03,116617,92.7,65.32
2454 聯發科,2012-03-03,55327,313,239.64
2474 可成,2012-03-03,83150,235,189.07
2492 華新科,2012-03-03,9956,10.55,11.36
2801 彰銀,2012-03-03,63270,17.75,10.76
2823 中壽,2012-03-03,85370,29.65,15.64
2880 華南金,2012-03-03,65841,17.2,9.65
2881 富邦金,2012-03-03,71649,33.85,24.34
2882 國泰金,2012-03-03,56896,33.9,22.38
2883 開發金,2012-03-03,100068,9.82,7.36
2884 玉山金,2012-03-03,54105,15.75,7.69
2885 元大金,2012-03-03,62248,17.15,12.84
2886 兆豐金,2012-03-03,174853,21.6,14.54
2887 台新金,2012-03-03,81928,11.85,6.4
2890 永豐金,2012-03-03,56778,10.95,6.06
2891 中信金,2012-03-03,102352,19.65,10.55
2892 第一金,2012-03-03,108494,18.1,9.79
2912 統一超,2012-03-03,18626,157,122.67
3008 大立光,2012-03-03,8131,657,583.48
3045 台灣大,2012-03-03,26757,90.2,62.61
3481 群創,2012-03-03,109908,15.45,12.95
4904 遠傳,2012-03-03,51478,59.3,42.2
4938 和碩,2012-03-03,58977,39.95,29.5
5871 中租-KY,2012-03-03,63270,42.3,24.95
5880 合庫金,2012-03-03,23546,19.1,10.61
6505 台塑化,2012-03-03,9433,94.5,75.68
9904 寶成,2012-03-03,17021,25.95,19.31
0050 元大台灣50,2012-03-03,67337,55.4,45.73
1101 台泥,2012-03-09,52203,35.85,23.28
1102 亞泥,2012-03-09,25498,36.3,24.81
1216 統一,2012-03-09,41490,42.65,26.99
1301 台塑,2012-03-09,36418,90.3,66.68
1303 南亞,2012-03-09,29822,69.6,52.22
1326 台化,2012-03-09,27709,91.3,67.6
1402 遠東新,2012-03-09,76086,34.6,23.97
2002 中鋼,2012-03-09,75808,30.1,23.17
2105 正新,2012-03-09,32032,70.9,42.01
2301 光寶科,2012-03-09,29710,38.3,24.85
2303 聯電,2012-03-09,167162,14.75,11.33
2308 台達電,2012-03-09,55670,84.3,65.07
2317 鴻海,2012-03-09,117133,101.5,64.19
2327 國巨,2012-03-09,46368,10,27.18
2330 台積電,2012-03-09,140638,80,63.91
2354 鴻準,2012-03-09,60060,129,90.9
2357 華碩,2012-03-09,23032,277,178.74
2382 廣達,2012-03-09,37965,70.3,47.55
2395 研華,2012-03-09,4346,95.3,63.48
2408 南亞科,2012-03-09,12617,3.85,30.79
2409 友達,2012-03-09,335273,16,12.58
2412 中華電,2012-03-09,76194,91.3,64.33
2454 聯發科,2012-03-09,67529,310,237.35
2474 可成,2012-03-09,93548,225.5,181.42
2492 華新科,2012-03-09,10938,10.2,10.98
2801 彰銀,2012-03-09,66265,17.2,10.43
2823 中壽,2012-03-09,158709,29.35,15.48
2880 華南金,2012-03-09,48851,17.25,9.68
2881 富邦金,2012-03-09,100727,33.1,23.8
2882 國泰金,2012-03-09,86774,33,21.78
2883 開發金,2012-03-09,98847,9.5,7.12
2884 玉山金,2012-03-09,66701,15.85,7.74
2885 元大金,2012-03-09,93903,16.65,12.47
2886 兆豐金,2012-03-09,190606,21.25,14.31
2887 台新金,2012-03-09,117825,11.95,6.45
2890 永豐金,2012-03-09,73177,10.7,5.93
2891 中信金,2012-03-09,151332,19.25,10.33
2892 第一金,2012-03-09,103195,18.15,9.82
2912 統一超,2012-03-09,15741,158.5,123.84
3008 大立光,2012-03-09,9665,636,564.83
3045 台灣大,2012-03-09,29511,88.4,61.36
3481 群創,2012-03-09,176715,15.95,13.37
4904 遠傳,2012-03-09,48857,59.5,42.34
4938 和碩,2012-03-09,46901,39.75,29.35
5871 中租-KY,2012-03-09,33761,41.5,24.47
5880 合庫金,2012-03-09,21024,18.75,10.41
6505 台塑化,2012-03-09,11644,93.6,74.96
9904 寶成,2012-03-09,13907,25.65,19.09
0050 元大台灣50,2012-03-09,73389,54.95,45.36
1101 台泥,2012-03-16,55608,36,23.37
1102 亞泥,2012-03-16,17292,35.2,24.06
1216 統一,2012-03-16,31047,42.25,26.74
1301 台塑,2012-03-16,24240,90,66.46
1303 南亞,2012-03-16,27912,69.1,51.84
1326 台化,2012-03-16,19782,90.2,66.79
1402 遠東新,2012-03-16,51784,34,23.55
2002 中鋼,2012-03-16,73537,30,23.09
2105 正新,2012-03-16,26968,71.4,42.31
2301 光寶科,2012-03-16,28475,37.15,24.1
2303 聯電,2012-03-16,216560,14.95,11.48
2308 台達電,2012-03-16,56604,87.1,67.23
2317 鴻海,2012-03-16,179209,104.5,66.08
2327 國巨,2012-03-16,40324,9.82,26.69
2330 台積電,2012-03-16,200219,81.1,64.79
2354 鴻準,2012-03-16,45788,129,90.9
2357 華碩,2012-03-16,23283,278,179.38
2382 廣達,2012-03-16,40265,69.5,47.01
2395 研華,2012-03-16,3949,96,63.95
2408 南亞科,2012-03-16,15630,3.3,26.39
2409 友達,2012-03-16,314611,15.5,12.19
2412 中華電,2012-03-16,59390,90.5,63.77
2454 聯發科,2012-03-16,52478,309,236.58
2474 可成,2012-03-16,80903,216.5,174.18
2492 華新科,2012-03-16,28694,10.25,11.03
2801 彰銀,2012-03-16,74834,17.5,10.61
2823 中壽,2012-03-16,124654,29.6,15.61
2880 華南金,2012-03-16,77911,17.5,9.82
2881 富邦金,2012-03-16,135467,34.35,24.7
2882 國泰金,2012-03-16,158336,34.55,22.81
2883 開發金,2012-03-16,89108,9.57,7.17
2884 玉山金,2012-03-16,161127,17,8.3
2885 元大金,2012-03-16,129038,17,12.73
2886 兆豐金,2012-03-16,129445,21.6,14.54
2887 台新金,2012-03-16,176083,12.4,6.7
2890 永豐金,2012-03-16,77991,10.95,6.06
2891 中信金,2012-03-16,182384,19.05,10.23
2892 第一金,2012-03-16,86760,18.15,9.82
2912 統一超,2012-03-16,16393,157,122.67
3008 大立光,2012-03-16,8403,621,551.5
3045 台灣大,2012-03-16,30841,87,60.39
3481 群創,2012-03-16,125101,15.3,12.83
4904 遠傳,2012-03-16,30780,58.3,41.48
4938 和碩,2012-03-16,102476,43.4,32.05
5871 中租-KY,2012-03-16,40534,43.5,25.65
5880 合庫金,2012-03-16,26599,18.75,10.41
6505 台塑化,2012-03-16,9647,93.4,74.8
9904 寶成,2012-03-16,25471,26.25,19.54
0050 元大台灣50,2012-03-16,68326,55.4,45.73
1101 台泥,2012-03-23,51842,35.25,22.89
1102 亞泥,2012-03-23,23187,36.55,24.98
1216 統一,2012-03-23,18443,43.05,27.24
1301 台塑,2012-03-23,44416,87.7,64.76
1303 南亞,2012-03-23,30642,67.2,50.42
1326 台化,2012-03-23,49189,85,62.94
1402 遠東新,2012-03-23,32727,34.4,23.83
2002 中鋼,2012-03-23,71518,30.05,23.13
2105 正新,2012-03-23,22287,72.4,42.9
2301 光寶科,2012-03-23,23616,37.7,24.46
2303 聯電,2012-03-23,124267,15.25,11.71
2308 台達電,2012-03-23,61558,90,69.47
2317 鴻海,2012-03-23,149300,106,67.03
2327 國巨,2012-03-23,28366,9.56,25.98
2330 台積電,2012-03-23,211349,85.4,68.23
2354 鴻準,2012-03-23,51006,125,88.08
2357 華碩,2012-03-23,11561,284.5,183.57
2382 廣達,2012-03-23,42130,71.5,48.37
2395 研華,2012-03-23,3850,99,65.94
2408 南亞科,2012-03-23,16872,3.08,24.63
2409 友達,2012-03-23,229174,14.65,11.52
2412 中華電,2012-03-23,61021,91.3,64.33
2454 聯發科,2012-03-23,44585,296,226.63
2474 可成,2012-03-23,81537,217.5,174.99
2492 華新科,2012-03-23,9072,10.1,10.87
2801 彰銀,2012-03-23,41237,17.5,10.61
2823 中壽,2012-03-23,80917,30.6,16.14
2880 華南金,2012-03-23,33411,17.4,9.76
2881 富邦金,2012-03-23,68148,34.5,24.81
2882 國泰金,2012-03-23,114769,34.6,22.84
2883 開發金,2012-03-23,57339,9.5,7.12
2884 玉山金,2012-03-23,70502,17.2,8.4
2885 元大金,2012-03-23,97388,16.3,12.21
2886 兆豐金,2012-03-23,99381,21.95,14.78
2887 台新金,2012-03-23,59491,12.3,6.64
2890 永豐金,2012-03-23,44313,11.1,6.15
2891 中信金,2012-03-23,113364,19.6,10.52
2892 第一金,2012-03-23,52986,18.3,9.9
2912 統一超,2012-03-23,12261,161,125.79
3008 大立光,2012-03-23,6242,612,543.51
3045 台灣大,2012-03-23,25503,88.7,61.57
3481 群創,2012-03-23,155202,14.5,12.16
4904 遠傳,2012-03-23,43902,59,41.98
4938 和碩,2012-03-23,88374,45.3,33.45
5871 中租-KY,2012-03-23,25485,43.25,25.51
5880 合庫金,2012-03-23,15814,19.05,10.58
6505 台塑化,2012-03-23,7608,93,74.48
9904 寶成,2012-03-23,19856,26.95,20.06
0050 元大台灣50,2012-03-23,45644,55.45,45.77
1101 台泥,2012-03-30,76767,34.55,22.43
1102 亞泥,2012-03-30,30475,35.95,24.57
1216 統一,2012-03-30,46174,40.85,25.85
1301 台塑,2012-03-30,43325,86.9,64.17
1303 南亞,2012-03-30,31730,66.7,50.04
1326 台化,2012-03-30,42404,86.2,63.83
1402 遠東新,2012-03-30,35615,34.15,23.66
2002 中鋼,2012-03-30,102244,30.15,23.21
2105 正新,2012-03-30,22298,70.9,42.01
2301 光寶科,2012-03-30,35361,35.7,23.16
2303 聯電,2012-03-30,171207,14.45,11.1
2308 台達電,2012-03-30,39622,86.5,66.77
2317 鴻海,2012-03-30,367396,114.5,72.41
2327 國巨,2012-03-30,29957,8.87,24.11
2330 台積電,2012-03-30,220570,84.9,67.83
2354 鴻準,2012-03-30,46257,122,85.96
2357 華碩,2012-03-30,16636,278.5,179.7
2382 廣達,2012-03-30,70758,77.3,52.29
2395 研華,2012-03-30,5293,102.5,68.28
2408 南亞科,2012-03-30,9591,3.11,24.87
2409 友達,2012-03-30,329667,13.65,10.73
2412 中華電,2012-03-30,85648,90.9,64.05
2454 聯發科,2012-03-30,66280,282.5,216.29
2474 可成,2012-03-30,71183,208.5,167.75
2492 華新科,2012-03-30,11230,9,9.69
2801 彰銀,2012-03-30,63874,16.85,10.22
2823 中壽,2012-03-30,102657,28.75,15.16
2880 華南金,2012-03-30,48200,16.9,9.48
2881 富邦金,2012-03-30,79415,33.25,23.91
2882 國泰金,2012-03-30,88086,33.6,22.18
2883 開發金,2012-03-30,89717,9,6.74
2884 玉山金,2012-03-30,56318,16.2,7.91
2885 元大金,2012-03-30,134013,15.35,11.5
2886 兆豐金,2012-03-30,119798,20.85,14.04
2887 台新金,2012-03-30,90527,11.8,6.37
2890 永豐金,2012-03-30,53337,10.65,5.9
2891 中信金,2012-03-30,124279,18.55,9.96
2892 第一金,2012-03-30,74195,17.75,9.6
2912 統一超,2012-03-30,11534,164,128.13
3008 大立光,2012-03-30,7952,580,515.09
3045 台灣大,2012-03-30,36539,89.9,62.4
3481 群創,2012-03-30,348227,13.75,11.53
4904 遠傳,2012-03-30,26084,60.5,43.05
4938 和碩,2012-03-30,86793,46,33.97
5871 中租-KY,2012-03-30,17844,42.3,24.95
5880 合庫金,2012-03-30,27851,18.5,10.27
6505 台塑化,2012-03-30,9252,92,73.68
9904 寶成,2012-03-30,20699,25.65,19.09
0050 元大台灣50,2012-03-30,51283,54.9,45.32
1101 台泥,2012-04-06,60546,34.5,22.4
1102 亞泥,2012-04-06,22711,36,24.61
1216 統一,2012-04-06,22437,40.65,25.73
1301 台塑,2012-04-06,30059,84.4,62.32
1303 南亞,2012-04-06,29458,61.4,46.07
1326 台化,2012-04-06,24183,85.3,63.16
1402 遠東新,2012-04-06,23060,33.4,23.14
2002 中鋼,2012-04-06,81651,29.15,22.44
2105 正新,2012-04-06,35887,68.5,40.59
2301 光寶科,2012-04-06,20151,34.55,22.41
2303 聯電,2012-04-06,129166,14,10.75
2308 台達電,2012-04-06,27660,84.6,65.3
2317 鴻海,2012-04-06,170577,111,70.19
2327 國巨,2012-04-06,16512,8.7,23.64
2330 台積電,2012-04-06,136755,83.8,66.95
2354 鴻準,2012-04-06,61025,113,79.62
2357 華碩,2012-04-06,15135,276,178.09
2382 廣達,2012-04-06,40907,75.1,50.8
2395 研華,2012-04-06,2673,96.4,64.21
2408 南亞科,2012-04-06,4522,3.04,24.31
2409 友達,2012-04-06,241559,14.45,11.36
2412 中華電,2012-04-06,41542,90.7,63.91
2454 聯發科,2012-04-06,27425,279,213.61
2474 可成,2012-04-06,63810,208,167.34
2492 華新科,2012-04-06,5015,8.38,9.02
2801 彰銀,2012-04-06,46110,16.3,9.88
2823 中壽,2012-04-06,82326,27.2,14.35
2880 華南金,2012-04-06,36584,16.45,9.23
2881 富邦金,2012-04-06,70679,32,23.01
2882 國泰金,2012-04-06,61249,32,21.12
2883 開發金,2012-04-06,84631,8.74,6.55
2884 玉山金,2012-04-06,29153,14.95,7.3
2885 元大金,2012-04-06,190104,14.55,10.9
2886 兆豐金,2012-04-06,117278,21.1,14.21
2887 台新金,2012-04-06,74555,11.25,6.07
2890 永豐金,2012-04-06,38381,10,5.54
2891 中信金,2012-04-06,107391,18,9.66
2892 第一金,2012-04-06,65040,17.05,9.22
2912 統一超,2012-04-06,13610,161,125.79
3008 大立光,2012-04-06,9813,568,504.44
3045 台灣大,2012-04-06,19379,88.6,61.5
3481 群創,2012-04-06,141341,14,11.74
4904 遠傳,2012-04-06,16988,58.8,41.84
4938 和碩,2012-04-06,35661,43,31.75
5871 中租-KY,2012-04-06,30746,40.8,24.06
5880 合庫金,2012-04-06,21477,17.85,9.91
6505 台塑化,2012-04-06,17195,89.2,71.44
9904 寶成,2012-04-06,13612,24.75,18.42
0050 元大台灣50,2012-04-06,44368,53.75,44.37
1101 台泥,2012-04-13,52674,35.8,23.24
1102 亞泥,2012-04-13,19610,36.55,24.98
1216 統一,2012-04-13,43325,41.25,26.11
1301 台塑,2012-04-13,29082,86.4,63.8
1303 南亞,2012-04-13,22693,61.3,45.99
1326 台化,2012-04-13,22196,84.3,62.42
1402 遠東新,2012-04-13,26271,33.7,23.35
2002 中鋼,2012-04-13,89246,29.05,22.36
2105 正新,2012-04-13,17225,69.5,41.18
2301 光寶科,2012-04-13,24872,34.4,22.32
2303 聯電,2012-04-13,149389,14.45,11.1
2308 台達電,2012-04-13,27034,89,68.7
2317 鴻海,2012-04-13,149187,114.5,72.41
2327 國巨,2012-04-13,11311,8.93,24.27
2330 台積電,2012-04-13,181602,84.9,67.83
2354 鴻準,2012-04-13,48762,111.5,78.57
2357 華碩,2012-04-13,17677,277,178.74
2382 廣達,2012-04-13,41754,74.4,50.33
2395 研華,2012-04-13,3747,99.5,66.28
2408 南亞科,2012-04-13,5538,3.2,25.59
2409 友達,2012-04-13,238882,15.2,11.95
2412 中華電,2012-04-13,50378,90.6,63.84
2454 聯發科,2012-04-13,24616,279.5,213.99
2474 可成,2012-04-13,44817,214.5,172.57
2492 華新科,2012-04-13,4511,8.51,9.16
2801 彰銀,2012-04-13,46586,16.45,9.97
2823 中壽,2012-04-13,101119,27.35,14.42
2880 華南金,2012-04-13,34181,16.45,9.23
2881 富邦金,2012-04-13,61081,32.4,23.3
2882 國泰金,2012-04-13,64081,31.95,21.09
2883 開發金,2012-04-13,138563,8.32,6.23
2884 玉山金,2012-04-13,50051,15.4,7.52
2885 元大金,2012-04-13,158157,14.9,11.16
2886 兆豐金,2012-04-13,103208,21.4,14.41
2887 台新金,2012-04-13,81601,11.4,6.16
2890 永豐金,2012-04-13,50000,10.15,5.62
2891 中信金,2012-04-13,170318,18.2,9.77
2892 第一金,2012-04-13,76012,17.15,9.28
2912 統一超,2012-04-13,8439,159,124.23
3008 大立光,2012-04-13,8833,573,508.88
3045 台灣大,2012-04-13,38079,88.5,61.43
3481 群創,2012-04-13,193524,14.1,11.82
4904 遠傳,2012-04-13,33033,62.1,44.19
4938 和碩,2012-04-13,45647,44.45,32.82
5871 中租-KY,2012-04-13,29605,43.15,25.45
5880 合庫金,2012-04-13,25814,17.65,9.8
6505 台塑化,2012-04-13,13601,86.6,69.36
9904 寶成,2012-04-13,15575,24.25,18.05
0050 元大台灣50,2012-04-13,55741,53.95,44.53
1101 台泥,2012-04-20,31106,35.4,22.98
1102 亞泥,2012-04-20,15473,36.4,24.88
1216 統一,2012-04-20,36053,42.05,26.61
1301 台塑,2012-04-20,24984,84.2,62.18
1303 南亞,2012-04-20,20645,59.8,44.87
1326 台化,2012-04-20,21346,83.9,62.12
1402 遠東新,2012-04-20,14985,33.4,23.14
2002 中鋼,2012-04-20,70553,28.7,22.09
2105 正新,2012-04-20,37695,70.8,41.95
2301 光寶科,2012-04-20,24430,33.75,21.89
2303 聯電,2012-04-20,112638,14.6,11.21
2308 台達電,2012-04-20,44535,90.3,69.7
2317 鴻海,2012-04-20,197354,103,65.13
2327 國巨,2012-04-20,15425,8.59,23.35
2330 台積電,2012-04-20,142928,84.3,67.35
2354 鴻準,2012-04-20,68169,95.5,67.29
2357 華碩,2012-04-20,24656,273,176.15
2382 廣達,2012-04-20,55013,76.8,51.95
2395 研華,2012-04-20,4323,104,69.28
2408 南亞科,2012-04-20,9464,2.6,20.79
2409 友達,2012-04-20,230059,14.2,11.17
2412 中華電,2012-04-20,117000,87.6,61.73
2454 聯發科,2012-04-20,49881,260,199.06
2474 可成,2012-04-20,90286,185,148.84
2492 華新科,2012-04-20,7661,7.96,8.57
2801 彰銀,2012-04-20,50406,16,9.7
2823 中壽,2012-04-20,58461,25.6,13.5
2880 華南金,2012-04-20,25136,16.15,9.06
2881 富邦金,2012-04-20,95811,30.75,22.11
2882 國泰金,2012-04-20,61156,30.95,20.43
2883 開發金,2012-04-20,269510,7.51,5.63
2884 玉山金,2012-04-20,59203,15.85,7.74
2885 元大金,2012-04-20,118911,14.2,10.64
2886 兆豐金,2012-04-20,161009,21.55,14.51
2887 台新金,2012-04-20,67672,11.15,6.02
2890 永豐金,2012-04-20,45806,9.92,5.49
2891 中信金,2012-04-20,122856,18,9.66
2892 第一金,2012-04-20,66190,17.2,9.31
2912 統一超,2012-04-20,5309,157.5,123.06
3008 大立光,2012-04-20,7826,560,497.33
3045 台灣大,2012-04-20,33997,90.5,62.82
3481 群創,2012-04-20,101214,13.4,11.23
4904 遠傳,2012-04-20,35794,63.4,45.11
4938 和碩,2012-04-20,50155,44.55,32.9
5871 中租-KY,2012-04-20,11613,40.95,24.15
5880 合庫金,2012-04-20,22516,17.25,9.58
6505 台塑化,2012-04-20,6781,86,68.88
9904 寶成,2012-04-20,10198,24.15,17.97
0050 元大台灣50,2012-04-20,64049,52.35,43.21
1101 台泥,2012-04-27,34936,33.85,21.98
1102 亞泥,2012-04-27,20189,35.85,24.5
1216 統一,2012-04-27,35562,43.9,27.78
1301 台塑,2012-04-27,50067,84.4,62.32
1303 南亞,2012-04-27,17443,60.7,45.54
1326 台化,2012-04-27,17607,84.7,62.71
1402 遠東新,2012-04-27,16943,33.1,22.93
2002 中鋼,2012-04-27,55460,29,22.32
2105 正新,2012-04-27,30016,71.4,42.31
2301 光寶科,2012-04-27,16808,35.1,22.77
2303 聯電,2012-04-27,255261,15.3,11.75
2308 台達電,2012-04-27,49272,85.1,65.69
2317 鴻海,2012-04-27,235111,99.3,62.79
2327 國巨,2012-04-27,17405,8.37,22.75
2330 台積電,2012-04-27,243197,86,68.71
2354 鴻準,2012-04-27,60680,97.9,68.98
2357 華碩,2012-04-27,31057,294.5,190.03
2382 廣達,2012-04-27,38622,74.1,50.12
2395 研華,2012-04-27,2671,100.5,66.94
2408 南亞科,2012-04-27,10336,2.51,20.07
2409 友達,2012-04-27,207598,13.4,10.54
2412 中華電,2012-04-27,58723,91.3,64.33
2454 聯發科,2012-04-27,49726,240.5,184.13
2474 可成,2012-04-27,92407,182.5,146.83
2492 華新科,2012-04-27,5069,7.87,8.47
2801 彰銀,2012-04-27,44947,16.2,9.82
2823 中壽,2012-04-27,59127,25.6,13.5
2880 華南金,2012-04-27,23208,16.35,9.17
2881 富邦金,2012-04-27,69677,30.75,22.11
2882 國泰金,2012-04-27,51935,30.95,20.43
2883 開發金,2012-04-27,330646,7.42,5.56
2884 玉山金,2012-04-27,28442,15.25,7.45
2885 元大金,2012-04-27,111597,14,10.49
2886 兆豐金,2012-04-27,156484,22.55,15.18
2887 台新金,2012-04-27,86956,11.15,6.02
2890 永豐金,2012-04-27,37714,9.93,5.5
2891 中信金,2012-04-27,109356,18.05,9.69
2892 第一金,2012-04-27,56210,17.5,9.47
2912 統一超,2012-04-27,4133,158,123.45
3008 大立光,2012-04-27,9891,498.5,442.71
3045 台灣大,2012-04-27,29408,93.7,65.04
3481 群創,2012-04-27,93416,12.4,10.4
4904 遠傳,2012-04-27,163259,63.6,45.26
4938 和碩,2012-04-27,43562,43.95,32.45
5871 中租-KY,2012-04-27,16294,42.15,24.86
5880 合庫金,2012-04-27,24346,17.75,9.86
6505 台塑化,2012-04-27,7691,90.3,72.32
9904 寶成,2012-04-27,12507,24.9,18.53
0050 元大台灣50,2012-04-27,47470,52.2,43.09
1101 台泥,2012-05-04,35745,35.95,23.34
1102 亞泥,2012-05-04,25917,35.65,24.37
1216 統一,2012-05-04,62190,46.3,29.3
1301 台塑,2012-05-04,36408,83.3,61.51
1303 南亞,2012-05-04,22355,60.8,45.62
1326 台化,2012-05-04,21031,84.7,62.71
1402 遠東新,2012-05-04,19195,33.75,23.38
2002 中鋼,2012-05-04,57547,29.2,22.48
2105 正新,2012-05-04,30133,74,43.85
2301 光寶科,2012-05-04,15334,37.1,24.07
2303 聯電,2012-05-04,165116,15.25,11.71
2308 台達電,2012-05-04,56040,95.5,73.72
2317 鴻海,2012-05-04,475990,90,56.91
2327 國巨,2012-05-04,10534,8.7,23.64
2330 台積電,2012-05-04,161345,87.6,69.98
2354 鴻準,2012-05-04,59367,107.5,75.75
2357 華碩,2012-05-04,31199,318,205.19
2382 廣達,2012-05-04,77384,86.1,58.24
2395 研華,2012-05-04,3341,103.5,68.94
2408 南亞科,2012-05-04,7741,2.31,18.47
2409 友達,2012-05-04,171801,14,11.01
2412 中華電,2012-05-04,44753,91.5,64.48
2454 聯發科,2012-05-04,53920,271,207.49
2474 可成,2012-05-04,54671,202.5,162.92
2492 華新科,2012-05-04,5558,8.11,8.73
2801 彰銀,2012-05-04,39551,16.6,10.06
2823 中壽,2012-05-04,42197,27,14.24
2880 華南金,2012-05-04,30027,16.75,9.4
2881 富邦金,2012-05-04,86522,30.95,22.25
2882 國泰金,2012-05-04,41413,31.65,20.89
2883 開發金,2012-05-04,246515,7.78,5.83
2884 玉山金,2012-05-04,34818,15.8,7.72
2885 元大金,2012-05-04,98712,14.1,10.56
2886 兆豐金,2012-05-04,96856,22.45,15.11
2887 台新金,2012-05-04,64544,11.65,6.29
2890 永豐金,2012-05-04,51908,10.55,5.84
2891 中信金,2012-05-04,83233,18.95,10.17
2892 第一金,2012-05-04,44611,17.8,9.63
2912 統一超,2012-05-04,6964,163.5,127.74
3008 大立光,2012-05-04,11556,480,426.28
3045 台灣大,2012-05-04,24051,94.2,65.39
3481 群創,2012-05-04,146601,13.05,10.94
4904 遠傳,2012-05-04,30071,64.9,46.18
4938 和碩,2012-05-04,63267,42.2,31.16
5871 中租-KY,2012-05-04,18250,44.7,26.36
5880 合庫金,2012-05-04,17951,18.3,10.16
6505 台塑化,2012-05-04,7735,90.4,72.4
9904 寶成,2012-05-04,18091,26.05,19.39
0050 元大台灣50,2012-05-04,41028,53.2,43.91
1101 台泥,2012-05-11,33998,34.45,22.37
1102 亞泥,2012-05-11,20615,34.7,23.72
1216 統一,2012-05-11,79998,46.6,29.49
1301 台塑,2012-05-11,61374,78.3,57.82
1303 南亞,2012-05-11,31109,57.9,43.44
1326 台化,2012-05-11,35131,79,58.49
1402 遠東新,2012-05-11,39989,31.6,21.89
2002 中鋼,2012-05-11,90498,28.35,21.82
2105 正新,2012-05-11,20347,72,42.66
2301 光寶科,2012-05-11,18605,36.05,23.39
2303 聯電,2012-05-11,185629,14.7,11.29
2308 台達電,2012-05-11,28217,93.9,72.48
2317 鴻海,2012-05-11,190556,86.4,54.64
2327 國巨,2012-05-11,18563,8.35,22.69
2330 台積電,2012-05-11,197332,85.5,68.31
2354 鴻準,2012-05-11,38330,97.5,68.7
2357 華碩,2012-05-11,26617,299.5,193.25
2382 廣達,2012-05-11,70639,81.3,54.99
2395 研華,2012-05-11,2439,98.4,65.55
2408 南亞科,2012-05-11,11189,2.72,21.75
2409 友達,2012-05-11,164822,13.05,10.26
2412 中華電,2012-05-11,57032,90,63.42
2454 聯發科,2012-05-11,33088,263,201.36
2474 可成,2012-05-11,53959,186,149.64
2492 華新科,2012-05-11,4252,7.65,8.24
2801 彰銀,2012-05-11,43131,15.95,9.67
2823 中壽,2012-05-11,46055,25.7,13.55
2880 華南金,2012-05-11,30867,16.25,9.12
2881 富邦金,2012-05-11,77259,29.9,21.5
2882 國泰金,2012-05-11,78976,29.9,19.74
2883 開發金,2012-05-11,300764,7.32,5.48
